Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,1,9,13,2,25,10,5,18,83,1,82,3174.812561035
P1,51,46,2,23,41,12,13,7,195,46,149,3174.088630184
P2,0,6,29,9,3,33,11,5,96,29,67,3174.5194554318
P3,2,3,10,4,20,1,5,23,68,4,64,3174.8764195420003
P4,6,6,5,0,7,11,6,20,61,7,54,3174.2725176774
P5,14,13,25,19,0,12,10,15,108,12,96,3174.8592238318
P6,22,0,3,39,2,18,16,8,108,16,92,3174.5610904596
P7,4,17,13,4,2,3,34,4,81,4,77,3174.2522435184
