Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,95,0,0,5,0,0,1,0,0,0,7,3,5,2,7,15,140,95,45,3455.3379955242003
P1,0,97,0,0,0,0,1,2,0,0,0,1,6,8,15,6,136,97,39,3454.8163247056
P2,0,0,99,0,0,1,1,0,1,2,3,2,15,4,10,5,143,99,44,3455.1703472090003
P3,0,0,0,87,0,0,0,0,1,0,2,5,3,9,8,12,127,87,40,3455.5835518900003
P4,1,0,0,0,98,0,1,0,0,0,0,5,10,7,1,12,135,98,37,3456.2189817402004
P5,0,0,0,0,0,98,0,0,0,0,5,6,0,12,12,2,135,98,37,3456.5178003288
P6,0,0,0,2,0,0,92,2,0,0,1,3,4,2,11,3,120,92,28,3456.5799298318
P7,0,0,0,0,0,0,0,94,0,0,2,0,3,7,4,8,118,94,24,3457.9359855616
P8,3,1,0,0,0,0,0,0,97,0,1,2,2,1,1,2,110,97,13,3456.051648607201
P9,0,0,0,0,0,0,0,0,1,97,5,0,3,0,0,2,108,97,11,3459.1546101626
P10,0,0,0,0,0,0,3,0,0,1,72,0,0,0,0,0,76,72,4,3456.4930143406004
P11,0,0,0,3,0,1,0,0,0,0,0,70,1,0,0,0,75,70,5,3456.4506492748
P12,1,1,0,0,0,0,0,0,0,0,0,0,45,0,0,2,49,45,4,3455.121529105
P13,0,1,1,1,1,0,1,0,0,0,0,1,0,47,0,0,53,47,6,3455.4808754896
P14,0,0,0,1,0,0,0,2,0,0,2,0,1,1,31,0,38,31,7,3456.5782618524004
P15,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,31,37,31,6,3456.7438611966
