Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,7,6,2,29,44,7,37,3048.2302632314
P1,60,58,44,21,183,58,125,3048.2335739012
P2,25,25,25,25,100,25,75,3048.2388138700003
P3,8,11,29,25,73,25,48,3048.2526044774004
