Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,0,4,0,1,0,0,0,8,13,0,13,500.24636388875
P1,0,2,0,3,4,2,2,0,13,2,11,500.30475855625
P2,6,6,2,4,1,6,1,2,28,2,26,500.20032525875
P3,1,4,9,3,2,0,1,2,22,3,19,500.38229823250003
P4,2,0,1,0,8,5,1,0,17,8,9,499.9573886449999
P5,6,0,1,1,0,2,4,1,15,2,13,500.23025273875004
P6,1,0,0,3,1,0,3,2,10,3,7,500.18028319
P7,0,0,3,1,0,1,4,1,10,1,9,500.57171285000004
