Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,93,378,123,249,274,40,2,73,1232,93,1139,31853.38974260109
P1,568,336,132,124,125,41,73,110,1509,336,1173,31852.690175656633
P2,44,52,67,52,16,129,270,9,639,67,572,31852.89661288298
P3,63,5,67,4,141,24,1,528,833,4,829,31853.19750834345
P4,104,81,265,249,154,1,108,125,1087,154,933,31853.527710867733
P5,20,6,125,297,128,538,152,85,1351,538,813,31853.208984017438
P6,120,57,20,18,30,142,265,16,668,265,403,31853.5408961605
P7,12,109,225,31,156,109,153,78,873,78,795,31853.25709255013
