Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,1920,80,64,64,256,64,256,60,2764,1920,844,48473.322083981904
P1,0,1792,0,8,8,4,16,4,1832,1792,40,52527.910845439335
P2,16,122,1864,10,64,32,256,126,2490,1864,626,50676.28219420959
P3,0,6,8,1902,56,28,160,62,2222,1902,320,50098.12130363669
P4,0,0,0,0,1536,0,16,0,1552,1536,16,73213.57359253876
P5,112,48,112,64,128,1920,320,128,2832,1920,912,51658.13108460546
P6,0,0,0,0,0,0,1024,0,1024,1024,0,104772.95186519998
P7,0,0,0,0,0,0,0,1668,1668,1668,0,78654.16925342825
