Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,70,37,110,7,14,32,12,256,538,70,468,15933.897528785743
P1,129,151,64,8,143,13,32,20,560,151,409,15934.171491669653
P2,3,1,10,22,12,63,145,0,256,10,246,15934.04080010656
P3,46,78,73,53,7,185,61,116,619,53,566,15934.844707871329
P4,119,26,22,76,141,76,65,8,533,141,392,15934.517259612265
P5,72,53,0,49,104,30,74,24,406,30,376,15933.850369413007
P6,29,150,196,252,54,113,31,16,841,31,810,15934.012280303088
P7,44,16,37,45,37,0,92,72,343,72,271,15933.627131018358
