Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,416,26,24,171,159,485,458,92,1831,416,1415,63759.267923960564
P1,112,193,47,21,1,150,552,15,1091,193,898,63759.31308791203
P2,356,434,197,307,665,56,33,226,2274,197,2077,63759.31949815473
P3,108,375,1034,1164,301,284,14,283,3563,1164,2399,63759.47832522681
P4,236,73,92,49,85,372,347,419,1673,85,1588,63758.75109182541
P5,100,119,384,77,781,405,29,350,2245,405,1840,63759.07155762279
P6,508,624,65,81,23,290,250,349,2190,250,1940,63759.842515614815
P7,212,204,205,178,33,6,365,314,1517,314,1203,63759.418222722845
