Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,168,2,4,2,0,2,5,5,1,4,3,7,3,0,3,5,14,3,6,8,0,1,6,3,0,3,1,0,1,6,3,3,272,168,104,1133.5084024892783
P1,1,168,7,0,7,3,2,2,13,6,3,5,0,4,5,7,14,4,3,4,1,1,1,5,2,3,2,0,3,7,7,3,293,168,125,1136.1231131982547
P2,4,1,144,0,4,0,3,1,1,1,0,4,1,4,1,0,0,1,1,9,1,3,0,0,0,0,0,5,1,0,1,1,192,144,48,1145.55750427662
P3,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,182,0,3636.13563001325
P4,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,0,5416.899994086336
P5,1,1,3,1,2,176,1,1,3,0,7,1,1,5,1,3,1,7,2,7,3,3,1,1,2,6,3,7,1,5,15,1,272,176,96,1142.7942926616292
P6,1,0,1,5,9,0,184,1,0,0,7,0,1,6,1,0,0,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,223,184,39,1149.6353613290046
P7,1,2,0,0,7,2,0,176,4,0,1,2,3,1,5,0,1,4,5,8,2,2,0,0,0,3,0,0,0,2,0,0,231,176,55,1149.7973919489036
P8,1,3,3,3,3,0,0,0,168,0,2,6,3,4,3,3,7,3,3,2,3,7,1,3,2,3,3,3,2,3,3,3,253,168,85,1141.971054205067
P9,2,1,0,0,1,0,0,2,0,184,0,3,10,8,0,1,0,5,1,2,1,0,1,0,2,0,0,0,0,0,2,2,228,184,44,1162.3760725416012
P10,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,0,4127.493082537788
P11,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,145,0,7696.621298444903
P12,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,129,0,6952.058369091952
P13,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,125,1,3751.780449048375
P14,1,0,8,0,3,2,0,0,0,0,7,1,7,2,164,0,3,0,4,5,0,1,0,1,0,1,0,2,0,0,1,0,213,164,49,1162.244810944437
P15,5,7,7,2,7,6,0,1,1,0,1,3,3,1,7,176,1,8,15,3,2,0,0,1,2,5,5,2,9,2,5,1,288,176,112,1139.335157176567
P16,0,1,0,1,3,0,1,1,2,0,6,2,7,7,1,0,127,2,0,1,0,1,1,0,2,0,0,0,1,6,1,0,174,127,47,1140.673156106149
P17,2,3,6,2,3,2,1,0,1,2,1,3,2,7,3,1,6,127,1,3,10,7,6,3,2,3,3,3,1,2,7,1,224,127,97,1137.183736027192
P18,2,7,1,0,3,5,2,7,0,0,2,5,7,2,3,1,4,9,144,1,1,0,1,4,1,2,3,6,3,1,7,1,235,144,91,1140.1553644694088
P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,0,0,0,0,0,0,0,0,0,0,0,0,114,113,1,5427.254152596523
P20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,160,158,2,3171.328839535918
P21,11,9,2,3,3,5,5,1,7,3,0,2,3,1,6,5,4,3,3,4,11,176,3,1,7,2,3,7,5,3,7,3,308,176,132,1127.6131146908704
P22,0,0,6,1,7,0,0,1,1,2,0,2,3,6,1,1,1,9,2,5,1,2,184,0,0,0,0,0,1,1,7,1,245,184,61,1141.8781981245002
P23,0,0,1,2,3,0,1,1,0,0,7,3,7,0,0,1,1,3,1,2,3,3,1,184,0,0,0,0,0,1,0,3,228,184,44,1146.1557660597598
P24,0,0,2,0,3,0,1,0,0,0,4,0,9,0,0,0,0,0,0,7,1,0,1,0,184,0,0,0,0,0,1,0,213,184,29,1163.6670667936537
P25,0,0,1,3,7,0,0,0,1,0,3,1,3,6,0,0,7,4,1,0,6,0,0,0,0,168,0,7,2,1,1,0,222,168,54,1155.0255245086155
P26,5,0,1,1,3,1,2,1,0,1,8,4,1,3,3,0,7,0,5,5,2,0,0,1,0,5,184,2,1,0,3,0,249,184,65,1140.6299904932928
P27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,1,0,153,152,1,1662.7273962019715
P28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,1,0,177,176,1,1957.4999367132793
P29,1,0,2,0,3,1,0,0,0,0,5,2,1,7,1,0,1,5,2,7,0,0,0,0,0,0,0,7,1,160,5,1,212,160,52,1141.1378352918991
P30,0,0,2,0,3,0,0,0,0,0,2,5,3,8,0,0,8,0,2,4,0,0,0,1,0,0,0,4,0,0,127,0,169,127,42,1149.383320647226
P31,1,2,7,0,11,3,0,7,5,5,1,2,1,1,0,4,1,11,4,6,1,1,1,0,2,3,0,1,0,7,3,184,275,184,91,1142.9200593657688
