Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,100,0,5,27,132,100,32,3049.0163702918003
P1,0,95,5,27,127,95,32,3048.2721204718
P2,0,0,87,17,104,87,17,3047.6747879801997
P3,0,5,3,29,37,29,8,3047.9919767362003
