Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,100,0,0,0,0,7,14,16,137,100,37,3177.3464793822
P1,0,100,0,0,1,6,23,10,140,100,40,3169.5537443094
P2,0,0,98,0,0,1,3,22,124,98,26,3176.805765139
P3,0,0,2,100,0,6,5,18,131,100,31,3173.477483736
P4,0,0,0,0,99,11,11,4,125,99,26,3176.2239284695997
P5,0,0,0,0,0,67,0,0,67,67,0,3176.2064819382003
P6,0,0,0,0,0,2,43,0,45,43,2,3178.629806524
P7,0,0,0,0,0,0,1,30,31,30,1,3167.9984521816
