Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,2,7,11,2,6,4,27,3,6,0,0,12,15,2,3,6,106,2,104,3455.3583760276
P1,3,11,10,10,12,2,0,5,38,7,9,3,5,4,4,3,126,11,115,3456.889774319
P2,2,10,12,7,9,17,0,15,0,3,0,2,28,4,3,2,114,12,102,3455.5008602141997
P3,2,2,7,12,7,1,4,3,1,0,9,12,6,12,0,9,87,12,75,3456.2467041033997
P4,1,8,0,0,2,3,2,1,16,8,10,3,0,0,13,7,74,2,72,3456.5357627858007
P5,0,18,0,2,9,11,0,0,1,7,5,8,1,20,3,6,91,11,80,3456.5536270134003
P6,14,4,2,1,10,3,10,11,8,0,7,24,4,7,5,0,110,10,100,3456.2359442736006
P7,3,5,7,8,11,5,10,7,0,3,6,14,1,4,2,14,100,7,93,3455.8554263128
P8,12,0,0,4,1,1,3,4,0,11,1,5,10,19,3,3,77,0,77,3455.9422960286006
P9,6,16,9,15,19,4,13,6,0,14,1,5,8,6,1,11,134,14,120,3455.8724737168004
P10,11,2,12,8,2,15,12,0,1,25,10,0,10,2,9,1,120,10,110,3456.6752910628006
P11,6,1,4,9,0,8,0,2,0,0,1,0,1,9,24,1,66,0,66,3456.650404929401
P12,9,0,10,0,0,8,9,12,1,1,28,5,5,5,4,3,100,5,95,3456.2749681484006
P13,12,4,6,10,9,1,1,4,0,0,6,0,1,3,6,20,83,3,80,3456.6335992792
P14,7,3,8,7,1,5,5,23,10,2,7,7,4,0,3,13,105,3,102,3456.3906364430004
P15,10,9,2,5,2,12,4,4,18,19,0,0,1,3,17,1,107,1,106,3456.6192221620004
