Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,2,1,0,1,1,1,5,1,1,0,1,0,0,0,0,9,1,1,1,4,0,2,1,0,1,0,2,1,0,1,4,2,4,0,1,0,0,4,2,0,0,0,0,5,1,1,1,1,2,0,1,1,0,0,1,0,2,2,0,0,2,7,1,1,84,2,82,26788.685587408803
P1,0,10,1,3,2,0,1,1,0,2,1,0,0,1,1,1,0,0,0,1,0,0,3,0,0,2,2,4,0,5,0,1,2,2,1,0,0,0,0,0,1,2,0,3,1,1,0,0,0,0,2,1,3,0,0,0,0,0,0,1,3,1,8,2,76,10,66,26790.015555382797
P2,0,0,0,0,2,0,0,0,1,5,0,3,2,0,2,3,2,0,0,0,0,12,2,1,3,1,0,1,1,0,4,0,2,1,0,0,0,1,2,0,4,0,2,0,0,0,0,0,0,1,3,0,2,2,2,1,3,0,2,3,0,2,0,4,82,0,82,26788.372227191798
P3,0,1,1,0,6,1,0,2,5,1,0,1,7,0,0,3,0,2,2,0,4,1,1,0,1,0,1,0,2,0,3,1,0,2,7,0,3,4,0,0,1,3,1,0,3,4,1,3,1,4,0,0,8,0,2,3,0,3,2,1,1,3,0,0,106,0,106,26788.580008032994
P4,0,0,6,0,1,2,2,4,0,2,2,1,1,0,5,7,2,0,3,0,0,4,1,0,1,4,3,1,0,1,0,1,3,0,0,1,0,4,0,0,6,0,0,0,3,1,3,0,1,0,1,2,1,0,0,0,0,4,0,2,4,1,3,1,95,1,94,26787.836748601403
P5,2,0,1,2,1,2,3,1,1,3,0,0,0,1,4,5,0,2,1,3,0,1,1,0,1,5,6,1,0,9,1,3,1,2,0,2,1,3,4,2,2,2,5,1,1,3,1,2,2,2,0,0,4,1,0,1,2,0,4,0,2,4,0,0,114,2,112,26791.162546636802
P6,3,3,0,1,2,1,0,0,0,2,1,3,2,0,4,0,1,0,1,3,0,4,3,2,7,0,3,0,1,0,0,0,0,5,0,1,0,0,3,2,0,3,1,0,3,1,0,0,1,4,2,1,0,0,1,2,0,2,0,3,0,6,2,1,91,0,91,26788.895762922002
P7,2,1,0,2,0,0,0,2,3,1,1,1,1,2,1,1,0,0,6,2,2,0,1,5,4,1,0,1,0,0,2,3,0,1,5,0,4,0,0,1,0,2,0,0,4,4,6,4,0,0,1,9,0,2,0,0,3,2,0,1,1,3,2,0,100,2,98,26786.8302807804
P8,2,0,5,1,2,0,1,1,4,0,2,3,0,0,0,0,1,0,0,2,0,0,1,1,0,3,6,2,0,2,2,4,3,0,2,2,2,0,1,0,1,3,1,1,4,3,1,0,4,1,7,3,1,0,1,2,0,1,0,2,0,3,6,0,100,4,96,26790.7921142596
P9,1,2,3,2,0,0,8,8,1,1,3,5,0,2,12,0,2,3,2,2,0,1,2,1,2,0,3,2,0,0,2,0,0,0,1,1,1,0,0,0,1,4,1,3,1,5,1,6,0,1,0,2,3,0,2,2,5,0,2,3,2,0,0,0,117,1,116,26789.661304473
P10,12,1,0,5,0,1,0,9,1,0,0,3,0,1,4,0,0,1,1,1,1,3,0,1,2,4,3,0,3,0,3,3,1,0,1,5,0,1,0,0,2,2,2,0,0,1,5,0,1,5,0,0,0,0,4,5,1,1,2,1,5,0,0,2,110,0,110,26790.078999046
