Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,90,0,0,0,0,0,0,0,0,0,0,8,11,2,5,14,130,90,40,3456.9829320866
P1,0,98,0,0,0,1,1,0,0,0,6,2,0,14,7,11,140,98,42,3457.4107565822
P2,0,0,95,0,0,2,0,0,1,0,1,2,4,3,11,14,133,95,38,3456.8994765220004
P3,0,0,0,99,0,0,0,0,0,0,2,2,4,13,8,10,138,99,39,3457.8912596770006
P4,2,0,0,0,96,0,2,1,0,0,0,4,6,0,11,10,132,96,36,3456.0210938428
P5,0,0,0,0,0,92,1,0,1,0,1,14,9,3,9,3,133,92,41,3455.4987239838
P6,1,0,1,0,1,0,92,0,0,0,0,0,8,11,6,1,121,92,29,3456.412727835
P7,1,0,0,0,0,1,1,99,1,0,10,0,2,1,6,6,128,99,29,3455.396185872
P8,0,0,0,1,0,1,0,0,94,0,3,1,3,2,2,0,107,94,13,3456.3713903338
P9,0,0,0,0,0,0,1,0,0,100,1,0,4,2,1,0,109,100,9,3454.8006463108004
P10,0,1,1,0,0,1,1,0,0,0,73,0,0,0,0,0,77,73,4,3455.7588238764006
P11,3,0,0,0,0,1,0,0,0,0,0,67,2,1,0,0,74,67,7,3456.0062780504
P12,2,0,1,0,2,1,1,0,0,0,3,0,44,0,1,0,55,44,11,3455.801861289
P13,1,1,0,0,0,0,0,0,0,0,0,0,1,47,0,0,50,47,3,3456.2536225291997
P14,0,0,0,0,1,0,0,0,2,0,0,0,0,0,33,0,36,33,3,3456.112789153801
P15,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,31,37,31,6,3456.6167988752
