Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,14,1,4,2,2,0,2,2,27,14,13,499.87614153875
P1,0,14,1,0,0,0,1,0,16,14,2,501.07360782625
P2,0,0,6,4,0,0,3,2,15,6,9,500.00489353750004
P3,0,0,0,8,4,0,1,2,15,8,7,499.996542935
P4,0,1,0,0,10,0,0,0,11,10,1,500.0439405537499
P5,0,0,2,0,0,13,4,1,20,13,7,500.10788441
P6,2,0,0,2,0,1,4,1,10,4,6,500.491559505
P7,0,0,3,0,0,2,1,8,14,8,6,500.47881305375006
