Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,20,1,5,3,194,3,36,67,329,20,309,15933.972251604571
P1,1,100,143,92,22,54,92,6,510,100,410,15934.234606562852
P2,194,152,156,36,57,32,60,18,705,156,549,15934.466501034061
P3,146,28,20,20,5,84,137,0,440,20,420,15933.536105965506
P4,1,78,12,173,135,32,40,15,486,135,351,15934.388238005315
P5,45,53,45,3,8,39,2,285,480,39,441,15933.51993066
P6,76,60,127,145,89,112,21,99,729,21,708,15934.223839259532
P7,29,40,4,40,2,156,124,22,417,22,395,15934.620095688162
