Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,948,17,39,6,40,3,187,64,1304,948,356,26721.176880761363
P1,6,922,5,9,19,2,18,19,1000,922,78,30101.602493976756
P2,24,14,816,32,42,8,88,64,1088,816,272,20099.719338673087
P3,31,38,63,956,26,27,60,30,1231,956,275,24033.963683823105
P4,1,0,0,0,864,0,0,8,873,864,9,40995.81341513846
P5,13,29,101,8,33,984,191,22,1381,984,397,25729.0159501599
P6,1,0,0,2,0,0,480,0,483,480,3,49245.24898943216
P7,0,4,0,11,0,0,0,817,832,817,15,37899.167971115145
