Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,79,119,63,277,146,116,144,45,989,79,910,31853.069859327847
P1,340,92,111,67,112,722,159,84,1687,92,1595,31853.499629030346
P2,16,134,260,132,148,34,142,62,928,260,668,31853.07176438914
P3,239,278,68,243,72,35,124,73,1132,243,889,31853.293395750312
P4,28,15,201,120,5,16,261,29,675,5,670,31852.584708714898
P5,140,372,242,17,269,5,1,139,1185,5,1180,31853.08409677695
P6,162,9,58,165,207,64,69,252,986,69,917,31853.891252074216
P7,20,5,21,3,65,32,124,340,610,340,270,31853.214017016267
