Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,100,1,0,0,0,0,0,0,0,0,3,7,5,5,7,13,141,100,41,3456.1816849656
P1,0,95,0,0,0,1,0,0,0,0,0,2,3,8,9,14,132,95,37,3455.569305891
P2,0,0,99,0,0,1,0,0,0,0,0,2,5,3,10,15,135,99,36,3455.5452599462
P3,0,0,0,97,1,0,1,0,0,1,0,3,11,6,14,4,138,97,41,3455.2008099636
P4,0,0,1,1,93,0,1,0,0,3,1,4,7,5,7,9,132,93,39,3456.8421311356
P5,0,0,0,1,1,94,1,0,2,1,8,7,4,7,5,7,138,94,44,3455.546399114801
P6,0,0,0,0,0,1,96,0,0,0,2,2,11,6,4,2,124,96,28,3456.453477386
P7,0,0,0,0,0,1,0,94,0,0,1,0,6,6,6,5,119,94,25,3456.8811006514
P8,0,0,0,0,1,0,0,0,98,2,5,0,2,0,1,1,110,98,12,3456.813305368601
P9,0,2,0,0,1,0,0,0,0,92,3,4,1,0,4,0,107,92,15,3456.7288169920002
P10,0,0,0,0,2,0,0,1,0,0,73,0,0,0,0,0,76,73,3,3458.4274134684006
P11,0,0,0,0,0,0,0,0,0,1,0,69,0,0,0,1,71,69,2,3456.1568498740003
P12,0,1,0,0,0,1,0,1,0,0,4,0,45,0,0,0,52,45,7,3455.5956583054
P13,0,1,0,1,0,0,0,0,0,0,0,0,0,48,0,0,50,48,2,3456.0574192974
P14,0,0,0,0,0,1,1,0,0,0,0,0,0,2,30,2,36,30,6,3455.9661846158006
P15,0,0,0,0,1,0,0,4,0,0,0,0,0,4,3,27,39,27,12,3456.2695498442
