Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,32,6,12,40,3,6,8,18,125,32,93,3174.775174123
P1,7,7,5,9,2,29,0,16,75,7,68,3174.2079501104
P2,2,43,21,23,12,0,15,15,131,21,110,3174.6507449073997
P3,20,30,4,15,1,0,41,0,111,15,96,3174.9482588708
P4,23,10,15,0,14,4,25,8,99,14,85,3174.8271446172
P5,12,4,19,8,3,4,5,23,78,4,74,3173.9762058162005
P6,2,0,12,3,13,41,3,7,81,3,78,3174.4696893712
P7,2,0,12,2,52,16,3,13,100,13,87,3174.3869738638
