Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,67,8,15,26,116,67,49,3048.2185487688002
P1,8,50,3,28,89,50,39,3048.2794365854006
P2,0,19,22,26,67,22,45,3048.1867165508
P3,25,23,60,20,128,20,108,3048.270553575
