Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,73,0,2,0,0,0,1,1,0,0,1,0,2,0,1,0,0,3,1,0,0,2,2,0,1,1,2,0,3,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,3,1,1,0,5,1,1,3,1,1,3,126,73,53,26790.514969821204
P1,0,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,5,0,0,0,0,0,2,1,0,3,1,0,0,1,1,0,1,0,1,2,1,2,3,7,0,0,0,2,100,59,41,26786.4264264208
P2,0,1,76,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,2,1,0,3,5,112,76,36,26787.635052195
P3,0,0,2,71,1,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,2,1,2,1,3,3,107,71,36,26791.191052439008
P4,0,0,0,0,64,1,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,3,0,0,4,2,6,0,1,0,3,0,7,2,0,105,64,41,26786.208435537803
P5,0,2,2,0,0,74,0,0,1,2,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,3,3,1,0,0,1,2,0,2,6,1,3,0,121,74,47,26788.001731882403
P6,0,0,0,1,2,0,73,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,2,1,1,2,0,2,2,3,3,2,113,73,40,26788.908141613796
P7,0,0,0,0,0,0,1,66,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,4,0,1,0,0,0,2,0,5,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,6,1,2,1,0,4,2,112,66,46,26786.9103675038
P8,1,0,0,0,2,3,0,0,76,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,2,2,0,0,0,2,0,1,2,2,0,1,1,5,0,1,5,117,76,41,26789.616843703203
P9,0,4,2,1,0,0,0,2,0,77,0,1,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,2,0,3,2,0,2,0,0,0,0,7,2,3,0,1,2,1,0,124,77,47,26789.459821223798
P10,0,1,0,0,0,1,0,1,0,0,70,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,0,0,0,3,7,2,1,3,0,0,108,70,38,26786.699628826795
P11,0,0,0,1,0,0,0,0,0,0,0,69,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,1,5,0,0,1,1,1,0,0,1,0,1,1,1,2,0,0,0,0,1,0,0,1,0,1,0,7,1,1,5,111,69,42,26789.165296081603
