Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,16,5,1,29,51,16,35,3048.2867526990003
P1,18,9,28,25,80,9,71,3048.2181954312005
P2,51,28,63,19,161,63,98,3048.2317523804004
P3,15,58,8,27,108,27,81,3048.2185549694004
