Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,11,16,5,2,1,0,4,6,5,6,7,3,4,20,6,1,97,11,86,3456.7036404592004
P1,4,9,0,1,9,0,2,1,9,1,10,0,1,9,16,2,74,9,65,3457.0916304572006
P2,3,2,4,0,16,12,0,4,0,4,13,2,2,21,3,4,90,4,86,3455.67007017
P3,0,10,2,15,4,3,2,5,3,11,0,23,1,19,3,0,101,15,86,3456.582023624401
P4,4,11,0,2,4,11,9,19,9,9,1,1,19,0,3,6,108,4,104,3455.594555854
P5,2,10,1,26,2,16,15,19,6,2,6,1,10,2,13,0,131,16,115,3455.9740395558
P6,0,3,0,1,1,0,23,12,5,2,1,4,0,0,1,23,76,23,53,3456.0493206966
P7,7,3,7,2,17,9,1,6,1,4,3,15,0,1,1,19,96,6,90,3455.8229756354003
P8,7,10,4,7,2,2,2,2,9,11,3,6,5,0,18,1,89,9,80,3455.966972351601
P9,13,6,18,4,6,2,9,3,15,33,13,4,1,1,2,6,136,33,103,3456.0361032482
P10,13,3,0,16,0,2,5,5,0,0,1,8,26,0,6,3,88,1,87,3456.461362842
P11,1,1,1,3,0,2,6,5,17,2,1,16,2,3,7,8,75,16,59,3457.0860605248004
P12,4,13,3,5,22,7,1,8,9,11,12,5,8,0,7,4,119,8,111,3456.6265387534004
P13,12,0,27,1,9,18,6,3,9,2,2,8,9,14,0,6,126,14,112,3456.1514162989997
P14,0,2,27,5,4,15,3,0,1,1,4,2,11,9,11,3,98,11,87,3456.3047361362005
P15,19,1,1,10,3,1,12,2,2,1,23,2,1,1,3,14,96,14,82,3456.1139202122004
