Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,28,7,27,25,87,28,59,3048.1837863850005
P1,18,46,37,23,124,46,78,3048.2767672442
P2,12,37,32,24,105,32,73,3048.2467503464004
P3,42,10,4,28,84,28,56,3048.2479515044006
