Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P47,0,5,0,6,1,0,1,2,3,8,2,0,2,5,11,0,1,0,4,3,4,2,0,0,2,1,0,4,0,0,0,1,1,0,0,2,3,0,1,1,0,3,0,2,0,0,1,2,3,0,1,0,0,0,2,0,2,1,3,1,1,4,0,3,105,2,103,26789.828654767
P48,0,0,9,2,0,0,4,2,0,8,1,0,0,3,0,3,1,1,3,0,1,1,2,0,3,1,0,1,0,0,1,1,1,1,0,0,2,1,1,4,0,0,7,1,2,0,1,5,2,0,0,0,0,0,1,5,4,0,0,4,2,1,0,2,95,2,93,26789.825566769403
P49,4,1,7,1,2,6,0,6,1,0,1,1,1,6,6,1,4,3,4,0,3,4,2,1,3,0,2,0,2,0,7,1,0,0,0,1,0,0,0,0,2,1,1,0,0,3,1,1,1,0,2,1,0,1,0,1,2,5,0,2,2,0,0,4,111,0,111,26791.057470799602
P50,7,7,1,0,0,1,1,1,0,0,0,3,2,2,1,0,2,1,1,5,5,1,2,5,0,3,1,7,3,1,1,7,1,0,0,1,0,2,0,0,0,3,0,1,0,3,8,0,1,7,0,1,0,3,0,0,4,5,3,0,1,0,0,0,115,0,115,26787.2668924368
P51,3,3,1,0,1,0,0,1,0,1,0,1,2,2,0,1,1,5,1,0,0,0,0,3,4,5,5,7,0,1,1,0,1,2,1,0,0,2,1,1,0,1,2,1,0,2,0,0,0,0,5,0,3,4,2,2,2,3,1,0,1,3,2,0,91,0,91,26790.4859838522
P52,0,0,1,4,0,0,0,0,0,0,4,0,0,1,2,0,2,0,5,1,0,0,0,1,0,3,6,0,2,0,3,0,0,0,5,3,0,1,0,0,2,1,0,6,0,3,0,1,1,2,14,3,0,1,3,2,3,0,4,2,1,1,0,0,94,0,94,26789.137061122397
P53,3,1,3,0,0,2,1,2,0,1,3,6,2,5,1,4,0,1,0,6,2,2,1,0,0,3,2,1,0,2,0,1,1,3,2,0,0,2,0,6,0,4,0,0,0,0,1,0,0,8,1,6,2,1,0,0,2,1,0,4,1,0,5,0,105,1,104,26788.033570288
P54,1,0,2,5,1,0,1,1,2,3,0,0,1,1,2,1,1,1,1,0,0,0,4,0,0,1,4,0,11,2,1,3,3,0,0,3,0,5,0,0,0,0,2,1,0,1,0,0,1,1,0,5,0,1,1,1,3,2,4,0,0,1,3,1,89,1,88,26789.230949879202
P55,5,0,1,2,1,0,0,1,0,0,0,4,5,0,1,5,1,6,0,4,3,2,0,3,1,1,2,1,0,1,0,0,0,2,2,1,1,2,1,2,2,5,5,1,3,1,1,8,0,2,0,6,1,2,2,3,3,0,1,0,2,0,4,0,113,3,110,26788.209401129403
P56,2,0,3,0,0,0,0,1,0,1,3,3,1,0,5,0,2,2,0,0,1,1,0,7,0,0,0,1,8,1,0,0,3,1,1,2,0,4,3,2,1,3,1,0,8,0,2,0,3,2,1,0,0,4,3,0,1,3,2,1,2,1,2,0,98,1,97,26791.865798474002
P57,0,0,3,0,0,2,3,0,2,1,0,0,1,0,0,0,7,1,0,6,6,0,4,0,4,0,3,2,2,1,6,3,2,3,4,0,0,4,0,0,1,5,1,0,1,0,3,0,1,8,2,0,4,0,1,1,0,1,2,0,3,0,1,5,110,1,109,26790.1728458444
P58,1,4,1,5,3,1,2,2,0,1,0,3,0,0,0,0,2,2,1,1,5,2,1,2,2,2,7,5,2,1,0,0,1,0,2,4,0,0,0,0,1,1,1,0,0,1,2,2,1,0,1,4,2,0,2,2,0,0,4,1,1,3,3,1,98,4,94,26789.3756003416
P59,4,1,5,3,1,2,3,1,2,0,1,6,0,0,0,2,1,5,2,3,1,2,0,0,1,0,0,4,3,0,0,0,2,0,1,5,0,1,6,0,4,4,0,3,2,1,1,3,0,0,3,1,0,2,5,0,0,0,6,1,2,3,0,0,109,1,108,26789.221652508197
P60,2,0,1,6,3,1,0,0,1,2,0,0,1,2,0,13,10,2,2,6,5,1,3,3,1,2,0,2,2,0,4,6,0,4,3,1,1,0,1,0,5,1,0,0,2,0,4,0,2,0,4,0,0,1,4,0,3,2,0,2,3,0,0,3,127,3,124,26787.515407565
P61,0,0,0,0,2,3,8,3,0,2,0,0,5,1,1,2,0,0,4,5,1,0,1,1,2,0,2,0,0,1,1,1,3,0,0,1,2,4,2,0,0,1,2,0,0,5,0,0,0,1,0,0,1,0,4,4,6,4,0,1,0,0,2,0,89,0,89,26788.723733428007
P62,1,0,4,0,3,1,2,1,2,0,0,1,1,3,2,4,2,6,7,0,3,2,0,3,2,1,0,3,0,0,1,1,5,1,0,5,1,0,2,0,1,2,0,5,1,1,3,0,3,0,1,1,1,1,0,0,0,0,2,3,7,0,2,0,104,2,102,26788.166330816
P63,2,0,0,3,3,0,10,3,0,1,1,3,0,1,1,2,4,5,0,0,3,1,3,1,0,2,1,0,1,0,0,1,6,1,0,4,1,0,4,0,2,0,1,1,1,0,0,1,0,3,1,4,1,1,2,2,2,5,0,0,2,0,4,0,101,0,101,26789.405939104203
