num_procs,greedy,kk,proactlb,qubo1_cqm_k1,qubo1_cqm_k2,qubo2_cqm_k1,qubo2_cqm_k2
4,0.00001,0.00001,0.01593,0.00026,0.00001,0.0468,0.0001
8,0.00019,0.00019,0.00786,0.00083,0.00011,0.0729,0.0016
16,0.00019,0.00013,0.01273,0.00084,0.00022,0.4371,0.0003
32,0.00028,4e-05,0.01603,0.00137,0.00011,1.3369,0.0002
64,0.0001,0.00001,0.02167,0.0003,0.00011,0.7719,0.0001
