Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P48,0,0,0,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,5,1,63,2,0,1,0,0,0,0,2,4,0,0,0,2,0,0,97,63,34,25317.420743482802
P49,0,0,2,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,4,1,1,0,0,0,2,0,0,0,1,2,1,0,0,2,1,4,0,1,0,0,1,1,1,0,66,0,0,0,1,0,0,2,0,1,0,0,4,1,0,107,66,41,25687.2511992522
P50,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,68,0,5,0,1,0,1,0,1,0,4,1,0,0,94,68,26,26209.7430367614
P51,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,1,2,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,81,0,3,0,0,0,0,0,0,0,0,0,0,106,81,25,25989.939002029805
P52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,2,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,68,54,14,26771.8350930268
P53,1,1,0,3,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,46,0,3,0,0,0,1,0,0,0,0,71,46,25,25911.0248265318
P54,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,71,56,15,28276.612852096798
P55,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,54,0,0,0,0,0,0,0,0,72,54,18,27361.775949015406
P56,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,39,32,7,47653.500807758006
P57,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,1,2,0,2,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,2,0,0,0,0,16,0,0,0,0,0,0,37,16,21,26433.321394448
P58,0,2,0,0,0,0,1,4,0,0,1,0,4,0,1,0,0,0,1,2,0,0,2,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,44,18,26,27508.644354347394
P59,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,37,32,5,47487.7626004176
P60,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,38,32,6,47594.311470512206
P61,0,0,2,1,0,1,1,1,3,2,1,4,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,16,0,0,51,16,35,26124.290089608
P62,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,16,0,35,16,19,25710.6510620096
P63,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15,39,15,24,25964.970267771998
