Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,94,0,0,27,121,94,27,2963.4609107936003
P1,4,93,6,26,129,93,36,2963.4753279644
P2,2,7,94,15,118,94,24,2962.7606243892
P3,0,0,0,32,32,32,0,3303.2583923328
