Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P30,1,0,0,7,0,6,1,2,3,0,3,1,0,1,0,0,1,0,2,0,1,1,1,1,3,0,0,0,3,3,0,0,5,4,0,0,4,1,3,0,1,0,0,1,0,0,0,0,1,1,1,0,0,3,7,3,2,0,0,0,3,5,1,1,88,0,88,26791.365583899402
P31,0,2,0,0,1,0,0,2,3,2,0,4,0,1,1,3,0,0,0,3,3,1,3,2,3,1,2,1,1,0,3,2,0,1,1,0,2,0,0,3,0,1,1,1,0,0,7,0,0,0,0,3,1,0,0,0,2,0,0,3,7,0,3,0,80,2,78,26789.814513206802
P32,0,0,0,4,2,5,1,2,0,1,0,0,1,0,0,2,2,1,1,0,0,6,11,8,0,0,2,0,0,3,0,1,1,0,1,1,1,0,2,0,0,1,1,0,0,0,0,2,0,2,3,0,0,0,0,0,0,4,0,0,0,8,0,4,84,1,83,26786.956207279
P33,1,1,1,0,0,3,0,0,3,2,0,0,0,2,3,1,0,0,0,1,2,0,4,0,0,1,2,3,1,0,0,4,0,2,0,0,4,1,1,6,1,0,3,2,1,4,1,0,3,1,1,6,0,1,5,2,0,2,1,1,2,0,0,5,91,2,89,26789.5906295786
P34,0,1,1,3,2,1,0,0,0,1,1,10,2,0,7,7,3,0,5,0,3,3,1,0,7,2,3,0,5,2,1,1,1,0,2,1,2,0,6,4,0,0,6,1,1,0,0,4,2,2,1,0,2,2,2,1,0,8,0,4,0,0,0,0,124,2,122,26788.7505898532
P35,1,0,1,2,2,0,0,0,2,1,3,5,1,8,0,0,4,1,3,1,0,2,1,2,4,0,12,0,0,0,2,0,0,1,3,0,0,1,0,0,0,0,1,2,0,3,1,1,1,0,2,4,2,3,3,1,2,0,4,0,1,0,4,1,99,0,99,26788.5144958528
P36,1,0,0,2,1,0,1,0,2,0,0,1,1,2,0,4,0,0,0,2,0,0,0,5,0,1,0,2,1,1,3,0,6,0,0,1,0,0,2,0,0,1,0,0,1,5,1,7,5,3,1,1,3,1,2,1,1,8,0,0,1,2,0,0,83,0,83,26788.792923929996
P37,5,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,1,3,0,0,2,0,5,3,2,0,2,7,1,1,2,2,0,0,0,6,0,1,4,0,3,1,4,0,4,2,3,0,4,0,0,3,3,0,1,87,1,86,26787.9936742796
P38,0,1,1,2,0,1,1,2,4,0,0,3,0,0,0,4,0,0,0,0,0,0,1,4,0,0,2,4,1,0,2,3,0,5,5,5,1,1,2,0,7,2,1,0,2,1,0,2,1,0,1,3,3,1,5,4,2,0,2,3,0,0,0,3,98,2,96,26789.0712556854
P39,0,0,0,3,0,0,0,0,0,0,0,2,0,3,0,2,1,5,11,1,4,0,1,2,3,1,1,0,0,4,2,1,0,0,0,0,0,0,1,1,0,11,0,1,1,4,0,0,1,3,1,1,0,0,1,4,1,2,3,1,1,5,0,0,90,1,89,26790.0945687324
P40,2,1,1,0,5,3,5,2,1,0,1,2,0,1,0,1,0,6,1,1,1,1,0,0,0,1,2,2,4,3,0,0,0,0,1,2,1,0,0,0,4,1,0,1,2,0,1,0,8,6,1,0,0,0,0,2,4,1,0,3,0,3,2,1,91,4,87,26789.160469057006
P41,0,0,0,0,1,0,3,1,3,0,1,2,2,2,0,2,4,2,0,1,3,2,0,1,3,3,1,0,1,7,6,1,0,0,4,0,0,9,0,1,0,5,4,2,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,3,7,3,0,0,98,5,93,26788.6336054826
P42,0,1,1,1,4,0,3,0,0,1,0,7,1,0,7,0,1,0,1,0,7,0,0,2,0,2,0,0,0,1,3,1,1,2,0,1,2,3,0,0,2,0,0,5,3,1,1,5,2,0,0,0,2,1,0,0,1,0,2,2,2,2,3,2,89,0,89,26788.694004534595
P43,1,0,1,0,2,2,0,4,0,0,0,2,0,1,0,0,9,0,0,0,1,2,4,1,3,3,1,0,3,0,8,0,3,2,0,0,4,0,0,3,0,0,3,0,0,3,0,0,2,1,0,0,2,0,0,0,9,0,0,1,0,1,1,3,86,0,86,26786.767759798804
P44,5,0,3,2,2,1,4,0,0,3,1,0,4,3,0,1,0,0,0,2,0,0,0,4,1,2,1,0,0,2,3,0,0,6,0,2,0,0,1,0,1,4,1,1,7,0,0,0,1,0,2,1,0,0,0,0,0,6,0,3,1,4,1,0,86,7,79,26787.8649306284
P45,2,0,1,4,0,4,0,0,0,3,0,3,3,0,6,7,5,4,0,0,0,8,2,2,1,2,0,1,3,4,4,0,1,1,1,4,0,1,1,0,0,0,1,0,0,1,1,0,1,1,4,2,1,3,0,0,0,0,0,10,0,0,4,0,107,1,106,26789.895492074796
P46,0,4,1,0,1,0,0,2,0,2,0,0,1,0,0,3,0,2,2,3,0,0,0,3,4,0,3,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,2,12,0,1,0,0,3,3,0,0,0,1,0,0,3,0,1,8,82,2,80,26789.2961025248
P47,0,0,0,0,5,0,6,0,1,2,3,5,1,0,0,1,5,0,1,16,0,1,0,1,0,1,0,2,0,5,0,2,0,2,7,2,0,7,0,1,1,0,1,2,0,0,0,0,11,1,1,0,4,0,3,0,0,1,8,1,1,1,0,0,113,0,113,26787.085121638396
P48,0,3,5,1,1,1,0,6,7,5,3,5,0,5,1,3,1,0,0,1,1,0,11,0,0,2,2,2,0,1,1,4,1,1,1,0,1,0,10,1,4,0,1,1,2,0,2,3,0,1,1,0,1,3,3,2,1,5,0,1,4,0,1,0,123,0,123,26788.4053325686
P49,0,5,1,0,0,0,1,2,1,1,4,0,1,5,0,8,3,3,0,0,0,0,0,0,7,1,1,1,4,1,0,1,2,0,1,1,1,0,5,1,7,4,8,2,1,0,1,0,3,0,0,0,1,0,1,2,5,1,5,0,0,0,0,2,105,0,105,26788.3799166726
P50,3,2,1,0,1,3,0,8,4,0,4,3,0,0,3,0,5,0,4,4,5,0,0,0,1,7,2,1,1,4,4,0,1,2,0,4,1,0,0,2,1,0,1,7,5,0,1,1,2,0,1,1,1,1,3,2,2,0,3,5,0,0,0,2,119,1,118,26790.436097146598
P51,5,2,0,12,3,1,4,1,1,0,0,2,6,0,12,0,0,0,0,0,1,0,3,0,2,1,0,0,1,0,0,4,1,3,1,0,1,0,1,1,1,0,10,4,0,10,0,0,0,1,4,2,0,0,0,7,4,0,0,0,0,1,3,3,119,2,117,26791.096787453604
P52,1,1,0,1,2,2,0,3,0,0,0,1,5,0,9,1,4,0,0,1,1,0,1,4,0,1,4,1,0,4,1,0,1,5,0,0,6,7,1,11,1,1,0,2,0,7,0,0,0,1,0,0,2,1,1,3,0,4,0,0,2,0,0,6,110,2,108,26791.21222496
