Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,100,11,0,7,0,14,6,15,153,100,53,2899.1896113991997
P1,0,84,0,0,0,5,13,15,117,84,33,2876.1326184196
P2,0,3,100,1,0,7,13,7,131,100,31,2655.6651601698
P3,0,2,0,92,0,2,7,15,118,92,26,2755.5358567118
P4,0,0,0,0,100,4,0,16,120,100,20,3308.6877060079996
P5,0,0,0,0,0,68,0,0,68,68,0,3223.6125488328003
P6,0,0,0,0,0,0,61,0,61,61,0,4374.7180938796
P7,0,0,0,0,0,0,0,32,32,32,0,3302.7005462592
