Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,92,5,0,1,2,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,2,0,0,1,0,3,0,1,0,1,0,0,1,0,1,3,1,0,0,0,0,0,1,0,0,3,0,0,0,0,8,3,3,0,0,1,0,2,6,2,0,0,150,92,58,25289.170657154198
P1,0,68,3,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,3,0,1,0,1,0,0,1,0,1,0,1,4,3,0,1,1,2,3,111,68,43,25277.757548821603
P2,2,0,60,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,3,0,0,0,1,0,2,0,0,1,1,2,1,4,0,2,1,0,5,104,60,44,25508.944798940003
P3,0,0,0,63,1,1,0,0,0,0,1,1,2,0,0,0,3,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,3,0,1,1,0,1,0,0,1,0,2,0,1,1,3,3,0,1,0,7,0,0,112,63,49,25069.260778906802
P4,0,0,0,2,63,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,3,2,1,0,0,4,1,0,6,1,1,1,111,63,48,25793.675663474405
P5,0,0,0,0,0,76,0,1,0,1,0,1,0,0,4,4,1,0,0,0,0,2,1,2,0,1,1,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,1,2,0,1,0,3,2,1,0,0,2,6,126,76,50,25314.3420238616
P6,0,0,1,0,0,0,76,0,0,0,0,1,0,0,0,0,3,0,1,2,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,0,2,0,0,1,1,0,3,2,0,2,0,0,0,0,3,4,0,3,0,0,1,4,4,1,0,124,76,48,25514.283880233204
P7,0,5,0,0,1,0,0,76,1,0,0,0,1,2,0,0,0,3,6,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,5,1,0,1,2,2,124,76,48,25927.700022716603
P8,0,0,0,2,5,0,1,1,63,2,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,1,1,2,0,0,0,0,1,1,1,0,3,0,1,1,3,6,2,0,1,111,63,48,25531.176209929003
P9,0,0,3,0,1,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2,0,0,1,0,0,2,2,0,8,0,1,2,1,101,68,33,26078.122962948804
