Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,94,0,0,27,121,94,27,2963.4609107936003
P1,6,91,6,26,129,91,38,2963.2935309368
P2,0,9,94,15,118,94,24,2962.9424214168002
P3,0,0,0,32,32,32,0,3303.2583923328
