Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,8,5,12,8,0,24,12,6,17,0,5,4,7,3,13,0,124,8,116,3456.4387693388003
P1,0,7,12,5,0,0,8,3,1,4,46,2,0,6,0,4,98,7,91,3456.4991941476
P2,4,3,7,0,8,1,0,13,6,13,6,14,5,14,2,1,97,7,90,3455.9110913288
P3,12,6,6,7,0,9,21,8,1,5,1,5,1,0,3,20,105,7,98,3456.7046346654
P4,10,4,14,0,33,4,1,5,0,5,7,38,5,0,4,0,130,33,97,3456.1756997162
P5,4,10,9,1,5,12,8,0,0,8,6,0,1,16,1,13,94,12,82,3455.7869124388003
P6,6,0,8,8,5,4,0,0,0,9,0,2,1,12,5,15,75,0,75,3455.158040999
P7,2,4,0,10,4,0,0,1,0,0,1,1,0,0,32,0,55,1,54,3456.0012688642005
P8,15,13,13,4,0,8,0,0,21,4,6,1,5,5,2,13,110,21,89,3456.0135827020003
P9,3,20,0,0,5,7,1,0,12,3,0,8,25,4,0,4,92,3,89,3455.8929214477994
P10,1,1,12,12,4,0,6,11,0,8,4,1,2,12,1,15,90,4,86,3456.0856242170003
P11,8,4,0,13,6,5,14,15,0,3,5,8,13,9,6,0,109,8,101,3456.674587252
P12,4,11,3,4,9,7,4,0,0,5,0,0,32,4,5,0,88,32,56,3456.2444214832
P13,14,4,0,16,4,4,23,16,21,12,0,4,1,3,12,1,135,3,132,3457.1527414314005
P14,1,0,4,3,5,14,2,8,12,9,7,8,0,0,12,6,91,12,79,3456.4644618034004
P15,8,8,0,9,12,1,0,14,9,12,6,4,2,12,2,8,107,8,99,3457.0314149844003
