Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,100,5,0,29,134,100,34,3191.0041918716
P1,0,95,2,27,124,95,29,3003.6921629872004
P2,0,0,97,15,112,97,15,2989.8209967414
P3,0,0,1,29,30,29,1,3008.4379038798
