Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,1,0,1,0,0,1,0,4,0,4,3,0,1,2,0,1,0,0,1,1,3,0,4,3,2,2,0,0,0,3,2,6,5,1,2,2,2,4,0,0,0,1,2,0,0,0,0,4,0,0,1,2,1,3,0,0,2,0,2,2,1,3,2,2,89,1,88,26790.505475999602
P1,1,6,0,4,1,1,5,0,1,0,4,2,1,0,0,0,0,0,1,1,0,0,0,1,4,0,2,3,3,0,2,5,1,1,0,3,1,0,1,2,1,0,0,0,1,7,3,0,3,2,1,1,0,1,2,2,0,0,1,3,0,5,3,1,94,6,88,26791.0400633826
P2,0,0,0,0,0,1,0,3,1,1,2,6,0,0,0,1,0,8,1,0,4,3,0,0,0,5,4,1,0,2,0,0,2,1,1,1,1,0,0,0,0,1,1,0,0,1,5,0,0,0,8,0,0,0,0,1,4,0,4,0,2,4,0,1,81,0,81,26787.919075491205
P3,3,0,1,2,2,0,0,2,6,4,2,1,0,1,4,0,0,1,1,6,0,1,4,0,10,0,4,0,5,0,2,3,0,5,3,0,6,0,10,2,1,1,0,1,0,0,5,3,6,0,6,0,0,0,0,0,0,2,0,1,1,0,9,0,127,2,125,26788.354578973
P4,1,4,2,1,4,4,1,0,0,0,0,1,6,0,4,7,0,0,3,0,4,1,2,1,4,0,3,0,0,1,3,0,0,2,1,3,0,0,1,0,6,2,3,0,0,2,0,3,3,0,5,2,2,6,1,4,5,1,0,2,0,2,0,0,113,4,109,26790.837178233796
P5,8,4,3,4,0,5,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,2,1,2,0,1,0,1,4,3,2,0,3,0,0,0,1,0,3,2,1,1,0,0,3,0,1,0,1,1,2,2,0,5,1,5,2,3,0,2,5,0,0,0,94,5,89,26787.3895134946
P6,2,5,1,6,0,0,0,0,0,0,0,1,2,3,2,1,2,7,0,0,2,0,1,0,0,1,0,4,1,4,0,0,1,1,2,1,4,2,0,1,1,3,1,4,2,1,0,1,4,3,1,4,1,0,0,1,0,7,3,0,0,1,2,0,97,0,97,26788.9520072962
P7,1,0,0,0,0,0,0,5,1,1,0,1,0,0,0,1,2,0,5,0,2,2,6,9,1,0,1,2,1,4,0,0,4,1,1,0,0,0,1,1,0,1,0,0,0,9,2,0,0,1,2,0,4,0,0,0,0,2,2,4,0,2,0,4,86,5,81,26788.0685954122
P8,1,2,10,1,4,6,4,0,2,0,0,1,1,2,0,2,2,2,1,1,0,0,4,4,0,2,0,0,1,5,1,2,1,4,0,2,2,1,3,0,0,2,1,0,0,1,0,0,0,2,0,2,0,2,2,1,0,2,2,9,0,1,0,0,101,2,99,26791.3117957108
P9,2,0,2,0,0,1,5,2,0,3,0,4,1,0,0,1,3,5,0,5,2,3,3,1,3,1,0,0,0,0,2,0,0,1,0,1,2,2,0,0,2,3,0,0,5,0,1,2,5,0,0,5,0,3,2,2,0,0,5,0,4,2,0,1,97,3,94,26791.875572206398
P10,1,0,0,4,0,4,0,0,0,2,2,1,4,1,1,0,1,1,2,0,1,0,2,1,1,2,2,0,1,0,0,0,0,1,0,0,0,0,4,9,1,4,0,0,2,1,0,1,0,0,8,0,1,0,1,1,4,1,1,2,2,1,3,0,82,2,80,26787.570335864606
P11,1,0,3,0,0,1,0,3,0,1,2,7,3,0,2,0,1,3,1,4,1,1,2,0,0,1,0,1,0,2,0,2,7,1,0,0,1,1,2,1,0,2,0,0,1,0,0,0,1,2,1,0,0,5,1,1,0,4,3,0,0,0,7,0,83,7,76,26787.952893736
P12,4,2,0,3,0,0,3,0,0,0,0,1,2,3,1,0,1,1,0,0,0,0,1,1,0,4,0,0,0,2,0,2,6,2,2,0,1,3,0,1,8,11,2,1,6,2,6,3,0,2,0,1,1,0,0,4,5,0,6,0,0,0,0,0,104,2,102,26789.724645136397
P13,4,0,2,1,3,3,0,3,0,3,0,3,0,3,1,1,8,0,0,4,2,0,3,4,0,0,6,1,0,2,0,0,5,1,4,1,2,0,4,7,6,5,1,1,0,4,2,5,0,6,2,9,0,0,4,2,0,1,0,1,0,2,0,5,137,3,134,26791.3825140004
