Process,P0,P1,P2,P3,P4,P5,P6,P7,w,L
P0,16,0,0,0,0,0,0,0,1.5973180525000001,25.557088840000002
P1,0,16,0,0,0,0,0,0,27.86500454125,445.84007266
P2,0,0,16,0,0,0,0,0,5.76829016125,92.29264258
P3,0,0,0,16,0,0,0,0,14.03008103375,224.48129654
P4,0,0,0,0,16,0,0,0,47.21789360124999,755.4862976199998
P5,0,0,0,0,0,16,0,0,1.6112118962499997,25.779390339999996
P6,0,0,0,0,0,0,16,0,105.19525408749999,1683.1240653999998
P7,0,0,0,0,0,0,0,16,46.844533086249996,749.5125293799999
