Process,P0,P1,P2,P3,P4,P5,P6,P7,w,L
P0,8,0,0,0,0,0,0,0,1.583254335,12.66603468
P1,0,8,0,0,0,0,0,0,28.456526994999997,227.65221595999998
P2,0,0,8,0,0,0,0,0,5.773901937500001,46.191215500000006
P3,0,0,0,8,0,0,0,0,14.4509255875,115.6074047
P4,0,0,0,0,8,0,0,0,48.101103305,384.80882644
P5,0,0,0,0,0,8,0,0,1.5914738149999998,12.731790519999999
P6,0,0,0,0,0,0,8,0,104.50847745,836.0678196
P7,0,0,0,0,0,0,0,8,47.839581965,382.71665572
