Process,P0,P1,P2,P3,P4,P5,P6,P7,w,L
P0,256,0,0,0,0,0,0,0,1.912909373671875,489.70479966
P1,0,256,0,0,0,0,0,0,28.55572216203125,7310.26487348
P2,0,0,256,0,0,0,0,0,6.470053270390625,1656.33363722
P3,0,0,0,256,0,0,0,0,14.542201347578123,3722.8035449799995
P4,0,0,0,0,256,0,0,0,46.83389812710938,11989.477920540001
P5,0,0,0,0,0,256,0,0,1.900149695703125,486.4383221
P6,0,0,0,0,0,0,256,0,102.7196744457031,26296.236658099995
P7,0,0,0,0,0,0,0,256,46.66586499671875,11946.46143916
