Process,P0,P1,P2,P3,P4,P5,P6,P7,w,L
P0,1024,0,0,0,0,0,0,0,1.9963327329882812,2044.24471858
P1,0,1024,0,0,0,0,0,0,28.536704508593747,29221.585416799997
P2,0,0,1024,0,0,0,0,0,6.413618242363281,6567.54508018
P3,0,0,0,1024,0,0,0,0,14.303005905839845,14646.278047580001
P4,0,0,0,0,1024,0,0,0,47.02010382896484,48148.58632086
P5,0,0,0,0,0,1024,0,0,1.9970303401367187,2044.9590683
P6,0,0,0,0,0,0,1024,0,102.5305138435156,104991.24617575998
P7,0,0,0,0,0,0,0,1024,46.05592177248046,47161.26389501999
