Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,128,128,128,128,128,128,128,128,1024,128,896,31853.21359
P1,128,128,128,128,128,128,128,128,1024,128,896,31853.21359
P2,128,128,128,128,128,128,128,128,1024,128,896,31853.21359
P3,128,128,128,128,128,128,128,128,1024,128,896,31853.21359
P4,128,128,128,128,128,128,128,128,1024,128,896,31853.21359
P5,128,128,128,128,128,128,128,128,1024,128,896,31853.21359
P6,128,128,128,128,128,128,128,128,1024,128,896,31853.21359
P7,128,128,128,128,128,128,128,128,1024,128,896,31853.21359
