Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,64,0,0,0,0,0,18,0,82,64,18,1990.87415
P1,0,64,0,0,0,0,0,4,68,64,4,2023.56473
P2,0,0,64,0,14,0,9,0,87,64,23,2022.16088
P3,0,0,0,64,8,0,0,15,87,64,23,2040.96806
P4,0,0,0,0,42,0,0,0,42,42,0,2027.63276
P5,0,0,0,0,0,64,18,0,82,64,18,1989.35896
P6,0,0,0,0,0,0,19,1,20,19,1,2020.16574
P7,0,0,0,0,0,0,0,44,44,44,0,2076.18272
