Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,64,64,64,64,64,64,64,64,512,64,448,15934.1202
P1,64,64,64,64,64,64,64,64,512,64,448,15934.1202
P2,64,64,64,64,64,64,64,64,512,64,448,15934.1202
P3,64,64,64,64,64,64,64,64,512,64,448,15934.1202
P4,64,64,64,64,64,64,64,64,512,64,448,15934.1202
P5,64,64,64,64,64,64,64,64,512,64,448,15934.1202
P6,64,64,64,64,64,64,64,64,512,64,448,15934.1202
P7,64,64,64,64,64,64,64,64,512,64,448,15934.1202
