Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,256,256,256,256,256,256,256,256,2048,256,1792,63759.30778
P1,256,256,256,256,256,256,256,256,2048,256,1792,63759.30778
P2,256,256,256,256,256,256,256,256,2048,256,1792,63759.30778
P3,256,256,256,256,256,256,256,256,2048,256,1792,63759.30778
P4,256,256,256,256,256,256,256,256,2048,256,1792,63759.30778
P5,256,256,256,256,256,256,256,256,2048,256,1792,63759.30778
P6,256,256,256,256,256,256,256,256,2048,256,1792,63759.30778
P7,256,256,256,256,256,256,256,256,2048,256,1792,63759.30778
