Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,205,0,4,5,14,0,0,2,1,0,0,6,7,6,0,4,0,0,3,6,6,3,0,0,1,0,0,3,0,0,1,0,277,205,72,2155.9604812380717
P1,0,199,0,2,5,2,0,0,2,2,10,1,3,0,0,1,1,0,1,27,0,1,0,0,3,3,0,0,0,3,1,1,268,199,69,2155.894722458784
P2,1,0,191,1,10,0,1,0,0,0,11,13,3,6,0,0,0,0,1,2,7,0,0,0,0,0,1,0,0,0,0,0,248,191,57,2155.8508288331204
P3,1,0,0,103,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,2,0,0,0,113,103,10,2155.8960551720866
P4,0,0,6,0,42,0,0,0,0,1,2,0,1,0,0,3,0,0,0,0,1,5,5,1,0,2,1,0,0,4,1,0,75,42,33,2155.8902557203264
P5,0,1,0,3,12,202,0,1,0,2,4,12,8,1,1,3,0,3,0,0,11,0,0,1,2,0,1,1,0,0,1,0,270,202,68,2155.9110489381055
P6,0,0,0,1,11,0,200,0,1,1,12,0,13,2,0,0,1,1,1,8,2,0,3,0,3,0,0,0,0,0,0,0,260,200,60,2155.8691305484904
P7,0,1,0,4,0,0,0,202,0,1,6,11,9,2,0,0,2,1,0,12,5,0,11,4,2,0,3,1,1,1,1,1,281,202,79,2155.879940665524
P8,1,0,0,0,8,0,0,0,199,0,5,4,23,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,248,199,49,2156.034786955336
P9,0,0,0,1,6,0,1,0,1,191,15,5,2,7,0,0,1,0,0,10,10,0,0,0,0,0,0,1,6,2,0,0,259,191,68,2155.9405854432885
P10,0,0,0,0,0,0,2,0,0,0,65,1,0,1,0,6,1,2,0,0,5,7,0,0,0,2,0,2,0,1,1,0,96,65,31,2156.026728256899
P11,0,0,2,1,0,0,0,1,1,1,0,38,0,0,0,1,3,4,2,2,0,0,0,6,0,2,7,1,0,6,1,2,81,38,43,2155.9143846536876
P12,0,4,1,1,0,1,0,0,0,0,6,0,35,0,0,0,5,0,1,0,3,7,0,4,2,0,1,0,0,1,5,1,78,35,43,2155.9036262558466
P13,0,0,0,0,0,1,0,0,1,3,2,0,1,66,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,79,66,13,2156.0801963963313
P14,0,1,2,11,1,0,0,0,1,0,12,12,6,6,204,4,2,0,1,6,0,1,0,1,1,2,0,1,2,0,2,0,279,204,75,2155.824707254764
P15,0,0,0,2,3,0,0,0,0,0,3,15,3,13,0,178,0,0,0,7,5,0,0,0,1,2,0,4,0,1,0,0,237,178,59,2155.8037174935757
P16,0,0,0,11,5,0,0,0,0,0,3,2,13,13,0,0,189,1,0,5,5,0,0,0,0,0,0,1,0,0,0,0,248,189,59,2155.9052098380525
P17,0,0,0,3,3,0,0,1,0,0,2,6,11,10,1,0,0,185,1,10,6,1,0,0,1,0,0,2,0,0,1,0,244,185,59,2155.9146406143072
P18,0,0,0,4,8,0,0,0,0,0,7,5,5,4,0,0,0,1,191,14,4,0,0,0,0,1,0,0,1,0,0,0,245,191,54,2155.9226883598603
P19,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,44,0,0,0,0,0,2,0,1,0,0,0,0,52,44,8,2155.831026469466
P20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,105,0,0,0,0,0,0,0,0,0,0,0,109,105,4,2156.0091634568944
P21,0,0,0,7,2,1,0,0,0,0,5,12,14,7,0,0,0,0,0,2,1,175,0,0,0,0,1,0,0,0,0,0,227,175,52,2155.8497566543942
P22,0,0,0,0,1,0,1,0,0,0,2,18,8,14,0,0,0,0,0,3,2,0,184,0,0,2,0,0,0,0,0,0,235,184,51,2156.0665149436823
P23,0,0,0,2,20,0,0,0,0,0,8,8,2,1,0,1,0,0,0,5,3,0,0,182,0,0,0,0,0,0,0,1,233,182,51,2155.8489897680192
P24,0,1,0,13,3,0,0,0,0,0,0,12,13,1,0,0,0,0,2,3,9,1,0,1,186,1,0,0,0,1,0,0,247,186,61,2156.0010228334613
P25,0,0,0,7,2,0,1,1,0,0,7,6,6,13,0,0,0,0,0,8,9,1,2,0,3,187,0,3,2,0,0,0,258,187,71,2156.0000413540283
P26,0,1,1,10,6,0,0,0,0,0,2,11,6,13,0,0,0,0,0,5,0,0,0,0,0,0,191,0,1,0,0,0,247,191,56,2155.8858736918464
P27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,184,1,0,0,0,190,184,6,2155.9562246964474
P28,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,2,0,0,0,2,1,5,0,1,0,0,188,2,1,0,208,188,20,2155.974376542578
P29,0,0,1,7,11,0,0,0,1,0,4,2,8,10,0,0,1,0,0,9,1,0,0,0,2,0,0,0,2,185,1,0,245,185,60,2155.9874627224904
P30,0,0,0,9,22,0,0,0,0,1,5,2,2,7,1,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1,191,0,249,191,58,2155.8615567241827
P31,0,0,0,0,12,0,0,0,0,2,7,6,4,4,1,4,0,5,0,11,5,2,1,2,0,0,1,2,0,0,0,201,270,201,69,2155.8696966660473
