Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,0,1,2,2,12,10,9,12,0,2,2,0,15,17,15,15,6,12,0,1,2,16,7,10,2,3,1,3,0,4,0,9,190,0,190,2155.925231473139
P1,3,1,6,5,1,2,9,0,7,6,14,4,10,0,0,14,1,2,3,16,2,3,0,7,26,0,0,0,0,0,5,2,149,1,148,2155.9761549989707
P2,8,8,6,14,7,0,7,26,7,18,5,9,5,12,9,9,1,6,5,3,3,22,1,6,4,1,8,0,3,1,0,0,214,6,208,2155.9465198679513
P3,9,8,10,0,0,1,2,16,10,2,12,10,1,13,13,12,12,1,27,4,24,6,17,3,2,4,4,9,0,0,1,2,235,0,235,2155.80519991539
P4,0,5,6,8,0,10,4,12,8,8,6,7,17,3,25,11,6,11,7,3,8,4,4,5,0,10,12,0,7,23,14,0,244,0,244,2155.9221988807785
P5,4,5,16,21,8,6,5,22,0,1,6,5,1,12,1,9,2,9,8,2,7,8,4,20,7,1,17,11,7,3,28,18,274,6,268,2155.8498160428894
P6,25,27,3,10,7,4,0,4,1,6,8,1,16,4,6,2,4,11,1,0,6,7,7,22,0,3,11,13,3,11,5,5,233,0,233,2155.8997961653267
P7,11,5,5,5,5,21,7,3,0,15,0,4,6,8,1,4,1,1,2,14,5,26,17,0,2,1,9,20,0,19,4,7,228,3,225,2156.014166933241
P8,1,10,4,10,16,3,8,3,41,7,23,0,1,8,9,18,2,2,2,1,4,3,6,8,6,0,10,1,2,1,0,7,217,41,176,2155.875591946408
P9,10,0,24,10,9,1,2,0,10,17,1,14,2,10,12,4,10,3,7,5,1,2,5,1,1,10,5,4,0,6,1,0,187,17,170,2155.9508741140144
P10,7,10,8,0,7,5,0,9,0,1,17,3,16,4,3,15,0,7,9,1,2,6,1,8,1,0,1,2,2,1,25,8,179,17,162,2155.984968772615
P11,1,5,1,3,0,7,0,1,9,3,0,4,2,11,1,8,12,18,1,24,10,1,2,3,0,14,5,0,5,24,2,3,180,4,176,2155.868352709759
P12,6,1,11,10,2,7,0,0,0,7,0,21,7,1,14,4,2,3,8,5,0,0,17,1,4,6,2,3,3,1,4,6,156,7,149,2155.914572007764
P13,8,32,1,9,0,4,5,0,0,11,24,4,4,2,5,4,3,8,25,9,4,1,4,3,23,0,14,8,11,0,2,2,230,2,228,2155.825144866553
P14,1,10,4,5,0,5,6,12,3,14,1,0,0,2,2,0,12,5,1,32,14,7,42,3,15,2,0,8,1,10,1,8,226,2,224,2155.8675199638983
P15,12,3,2,3,15,6,2,6,6,6,6,13,3,3,4,0,29,9,12,1,2,4,0,36,14,14,0,5,5,6,10,6,243,0,243,2155.8779948253123
P16,16,5,3,0,1,9,3,3,4,2,1,2,18,8,6,1,9,2,27,4,4,23,3,2,10,13,18,2,37,8,13,1,258,9,249,2155.898310747875
P17,2,16,7,0,4,0,2,0,28,17,17,8,7,0,7,21,6,47,13,5,11,2,0,12,0,4,6,12,0,9,3,1,267,47,220,2155.833454420437
P18,3,11,5,8,10,12,7,4,10,13,7,11,1,2,5,1,1,1,5,1,16,11,0,3,19,6,2,2,16,9,1,4,207,5,202,2155.973008859461
P19,5,3,0,20,10,0,7,7,6,1,2,8,0,13,2,2,16,1,0,3,2,5,1,3,7,5,1,12,5,10,5,16,178,3,175,2155.880532104302
P20,3,3,7,0,14,8,12,18,13,1,21,4,8,3,2,12,3,0,3,0,3,1,14,4,7,7,0,0,2,13,3,0,189,3,186,2155.952475839635
P21,26,9,9,7,10,9,10,8,7,7,6,7,1,4,3,3,16,8,0,12,4,5,2,7,3,2,7,4,6,6,0,0,208,5,203,2155.9666703305816
P22,5,16,2,4,9,15,29,0,4,3,0,4,7,1,3,8,1,0,0,15,2,3,3,3,0,9,2,5,15,2,5,28,203,3,200,2156.0410678385624
P23,3,7,22,8,3,2,39,10,3,7,5,8,13,6,2,4,6,0,5,2,5,3,2,0,6,4,2,12,2,9,16,4,220,0,220,2155.9137122220186
P24,9,1,5,23,4,7,1,6,2,11,11,3,9,6,1,3,4,0,1,3,5,0,4,0,2,9,25,7,0,2,5,1,170,2,168,2155.8949189125237
P25,8,3,6,5,1,15,1,6,3,2,0,15,17,0,2,0,3,7,7,0,6,16,11,13,14,2,6,10,2,5,10,2,198,2,196,2155.9228775819092
P26,3,0,5,0,19,0,1,2,0,5,6,1,0,3,3,8,11,9,8,0,21,0,5,3,0,2,9,16,26,7,3,37,213,9,204,2155.9422650021247
P27,9,0,0,7,6,0,13,4,6,1,3,16,3,10,8,0,4,0,6,0,8,1,4,0,6,37,13,5,7,0,0,1,178,5,173,2155.9588162946634
P28,1,0,7,2,5,6,2,1,2,0,0,2,8,4,16,0,11,3,2,12,9,6,1,6,10,4,2,17,22,5,16,2,184,22,162,2156.060665089159
P29,8,1,13,6,1,7,3,0,7,1,2,3,1,28,1,9,10,8,0,13,2,1,6,8,8,8,15,12,3,2,11,23,221,2,219,2156.0106192992885
P30,1,1,2,2,21,1,5,8,0,0,2,0,2,10,12,4,3,8,7,5,10,4,15,7,9,5,1,5,10,11,10,0,181,10,171,2155.9216884814896
P31,0,1,6,1,1,25,7,5,11,13,0,17,7,0,15,3,1,6,6,12,6,11,3,1,0,22,0,0,6,0,5,5,196,5,191,2155.8902551119513
