Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,50,0,0,0,0,0,0,9,59,50,9,1023.91144
P1,0,50,0,0,0,0,0,7,57,50,7,1043.52355
P2,0,0,50,0,0,0,0,9,59,50,9,1023.11245
P3,0,0,0,50,0,9,0,0,59,50,9,1026.95788
P4,0,0,0,0,50,0,0,9,59,50,9,1022.89697
P5,0,0,0,0,0,41,0,0,41,41,0,1181.00087
P6,0,0,0,0,0,0,50,6,56,50,6,949.76032
P7,0,0,0,0,0,0,0,10,10,10,0,1030.61704
