Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,7,8,6,12,6,7,7,5,58,7,51,1422.98065
P1,7,8,6,12,6,7,7,5,58,8,50,1422.98065
P2,6,5,7,0,6,5,6,7,42,7,35,1424.63203
P3,6,5,7,0,6,5,6,7,42,0,42,1424.63203
P4,6,5,6,0,7,5,6,7,42,7,35,1424.60701
P5,6,5,6,0,7,5,6,7,42,5,37,1424.60701
P6,6,7,6,13,6,8,6,6,58,6,52,1422.83765
P7,6,7,6,13,6,8,6,6,58,6,52,1422.83765
