Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,7,6,7,7,6,7,5,6,51,7,44,1037.5833
P1,7,6,7,7,6,7,5,6,51,6,45,1037.5833
P2,8,6,6,7,6,7,5,6,51,6,45,1037.59928
P3,8,6,6,7,6,7,5,6,51,7,44,1037.59928
P4,5,6,6,5,6,4,8,7,47,6,41,1037.63977
P5,5,6,6,5,6,4,8,7,47,4,43,1037.63977
P6,5,7,6,6,7,7,7,6,51,7,44,1038.06791
P7,5,7,6,6,7,7,7,6,51,6,45,1038.06791
