num_procs,greedy,kk,proact2,gurobi,qubo_cqm_k1,qubo_cqm_k2
8,0.0,0.0,0.00375,0.0,0.0,0.0
16,0.0,0.0,0.00841,0.0,0.0,0.0
32,7e-05,1e-05,0.00944,0.0,0.0,0.0
