Iter,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
0,0.1636724472,0.163036108,0.1630384922,0.1629574299,0.6294877529,0.6312134266,1.463498354,1.4801485538,2.7861261368,2.7920877934,4.6029231548,4.624699831,7.121360302,7.1577267647,10.3058538437,10.3000760078
1,0.3254859447,0.3320753574,0.3375957012,0.1578319073,0.9538502693,0.9489707947,2.0782942772,2.1543011665,3.4986536503,3.4782509804,5.1406526566,5.443543911,7.5179824829,7.5836420059,10.395103693,10.5525631905
2,0.1555626392,0.1563649178,0.1548418999,0.3135211468,0.5426001549,0.5415072441,1.2770028114,1.2801783085,2.6747422218,2.6777849197,4.8592863083,4.8650197983,7.6849162579,7.4982771873,10.3915491104,10.5501461029
3,0.1546943188,0.1547951698,0.1561307907,0.1549899578,0.5417735577,0.5447859764,1.2813491821,1.2800533772,2.8287940025,2.8082916737,4.5812499523,4.7816603184,6.9285376072,6.9556581974,10.2409427166,10.2540566921
4,0.1559801102,0.1791496277,0.1800086498,0.1551492214,0.5451059341,0.5421285629,1.2798881531,1.2796535492,2.5371057987,2.5337054729,4.3133363724,4.372730732,6.7947516441,6.7650883198,10.0663304329,10.0832953453
