Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,0,0,0,32,32,0,32,3303.2583923328
P1,4,20,1,26,51,20,31,2745.5975213034
P2,22,43,59,21,145,59,86,3170.3460321286
P3,74,37,40,21,172,21,151,2973.7533097152
