Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,82,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,5,0,2,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,3,1,4,0,2,0,2,5,1,124,82,42,26365.992042536403
P1,1,62,0,1,0,0,0,0,1,0,0,0,0,0,2,3,1,8,1,1,1,1,0,0,0,0,0,2,0,2,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,5,4,1,0,2,2,114,62,52,26280.8396697152
P2,0,0,68,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,3,0,1,2,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,3,1,2,2,2,2,1,0,1,1,1,1,0,5,2,0,4,119,68,51,26279.217737668798
P3,0,0,0,75,0,1,0,0,0,0,0,1,1,1,1,0,2,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,2,1,0,0,1,2,1,1,0,4,1,5,4,0,0,115,75,40,26378.8665785828
P4,1,0,1,3,62,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,4,1,0,0,3,1,1,1,0,0,1,0,1,4,1,0,2,6,109,62,47,26197.188234328198
P5,0,0,1,0,0,63,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,1,7,3,3,1,97,63,34,25845.266455181998
P6,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,1,1,1,1,4,3,2,0,4,4,0,2,0,0,3,104,63,41,26541.201484684003
P7,1,0,2,0,0,2,0,68,0,2,4,0,1,0,0,0,2,0,1,0,1,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,0,1,0,2,3,1,1,1,2,1,1,0,1,1,2,4,0,3,3,124,68,56,26301.1890549828
P8,0,1,0,1,0,0,0,0,84,0,0,0,1,4,3,1,0,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,3,5,1,1,2,129,84,45,26336.963162423603
P9,0,1,0,0,0,0,2,1,0,63,1,2,1,0,0,0,1,5,0,0,3,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,2,1,0,0,2,1,4,0,0,1,4,2,6,2,0,0,0,0,118,63,55,26147.387516021197
P10,0,1,1,1,0,1,0,0,1,1,62,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,4,3,0,0,0,1,0,0,0,0,1,0,1,1,3,0,1,3,4,4,0,0,106,62,44,26218.3681797938
P11,0,0,1,0,0,1,2,0,0,0,0,68,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,2,6,0,0,2,0,0,1,1,5,3,2,109,68,41,26487.004304889397
P12,0,1,0,0,1,0,0,1,1,3,0,4,62,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,2,1,0,1,4,2,1,0,1,0,3,1,2,2,3,0,3,118,62,56,26341.7863321264
P13,0,0,0,0,0,0,0,0,2,1,4,0,0,80,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,2,1,3,1,0,3,1,0,3,1,5,0,3,2,0,123,80,43,26228.8204069076
P14,0,0,0,1,0,0,0,0,0,1,0,2,1,0,68,0,1,3,3,0,0,0,0,0,2,1,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,3,0,0,1,0,1,0,0,0,1,7,2,1,1,0,4,0,113,68,45,26327.684666151195
P15,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,66,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,4,0,0,0,1,5,6,0,98,66,32,26413.824949747403
P16,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,68,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,1,0,0,0,2,0,0,2,0,4,3,0,4,2,0,2,1,2,106,68,38,26248.0043630686
P17,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,1,59,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,1,0,7,0,1,0,1,0,0,6,101,59,42,26396.563052647798
