Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,0,2,1,3,4,4,0,5,7,0,3,3,6,4,6,1,0,0,0,8,2,3,2,0,0,0,0,0,5,6,3,7,85,0,85,3185.1801671982003
P1,1,0,9,2,0,8,1,4,0,2,0,2,1,2,2,6,0,4,0,8,0,8,4,6,5,1,13,2,0,1,1,2,95,0,95,3186.3945827492003
P2,8,0,4,7,0,2,1,10,12,0,1,6,0,5,5,14,1,6,0,5,7,2,0,3,0,0,0,1,3,2,3,9,117,4,113,3185.3524847050003
P3,2,1,2,10,1,2,4,4,1,4,6,0,2,5,6,0,0,2,1,7,1,1,8,0,1,0,1,0,6,2,11,0,91,10,81,3185.7750415816
P4,0,2,0,1,1,0,4,6,0,12,1,1,4,2,1,1,4,6,7,1,0,4,5,7,4,2,2,1,1,4,6,2,92,1,91,3186.1892833728
P5,6,5,0,0,3,7,3,2,2,0,0,2,5,2,0,0,0,0,0,2,1,3,5,0,6,1,4,1,0,14,3,0,77,7,70,3184.9828405352
P6,4,2,0,0,0,0,8,2,0,8,6,4,0,0,2,3,5,0,1,3,5,0,0,2,3,11,0,8,1,7,0,4,89,8,81,3185.7885098496
P7,1,4,4,1,7,1,1,9,8,0,1,0,1,7,4,0,1,1,0,0,4,1,4,2,7,1,1,0,7,10,0,1,89,9,80,3184.9858555809997
P8,3,6,0,3,0,2,0,3,0,5,7,1,6,1,8,0,1,4,0,0,2,3,5,1,0,1,8,14,1,0,5,0,90,0,90,3185.3564600992
P9,6,1,4,3,0,8,4,0,5,0,2,4,2,0,1,0,8,0,0,0,6,0,2,1,3,1,5,13,3,7,0,0,89,0,89,3186.0101285036008
P10,1,5,1,1,4,5,3,4,1,1,5,0,10,0,0,5,3,1,3,4,1,0,1,0,8,1,0,0,3,4,0,13,88,5,83,3185.9543967218
P11,4,2,2,0,0,0,2,0,4,2,0,1,0,1,0,9,17,1,0,4,5,1,5,0,3,5,2,17,1,0,1,2,91,1,90,3185.6129474712
P12,5,1,0,3,21,1,5,0,2,0,1,4,13,13,8,4,13,1,0,4,0,17,1,4,1,0,4,1,1,1,1,4,134,13,121,3185.6516060844006
P13,5,5,0,1,4,0,14,5,7,1,0,4,5,2,0,0,8,9,15,1,2,12,0,0,0,0,0,1,1,4,3,8,117,2,115,3186.1770334314
P14,0,1,8,6,4,1,0,0,13,6,1,1,6,0,1,2,1,0,1,1,0,0,8,5,0,1,0,0,13,0,0,7,87,1,86,3185.276416306
P15,4,5,2,10,0,0,0,4,3,0,1,6,0,0,4,4,2,1,2,11,3,5,6,9,0,1,14,0,4,0,0,0,101,4,97,3185.8250327128
P16,3,3,1,3,2,1,2,11,0,0,1,5,0,1,0,1,2,0,5,4,0,0,1,0,8,37,1,0,1,0,2,2,97,2,95,3185.5733475684005
P17,4,9,0,2,2,6,0,6,3,4,2,0,0,0,0,8,1,12,0,5,5,0,4,2,0,2,8,3,4,4,4,0,100,12,88,3185.5666918774
P18,0,2,2,8,5,12,4,2,0,2,2,5,8,3,0,0,3,3,4,0,7,4,1,4,1,0,5,1,0,4,7,4,103,4,99,3185.7171297072
P19,4,9,2,1,0,6,2,0,0,1,12,18,0,7,0,4,0,0,12,1,6,5,4,2,2,1,6,6,1,0,4,2,118,1,117,3185.2762193724
P20,0,3,3,1,0,5,2,0,8,5,8,0,1,5,0,0,4,3,13,0,0,3,9,1,2,0,0,0,14,0,4,0,94,0,94,3186.4404878687997
P21,4,4,5,4,1,0,9,2,2,3,1,7,1,2,20,15,2,0,1,4,0,2,0,6,4,0,4,2,2,2,0,8,117,2,115,3186.1332373674004
P22,8,7,8,1,1,2,7,7,0,9,0,0,6,3,0,2,0,8,2,1,0,5,0,3,1,1,0,4,0,9,1,8,104,0,104,3185.3844118140005
P23,0,6,16,1,6,4,1,7,3,12,0,5,3,1,0,9,2,0,1,4,1,0,0,1,1,3,2,9,10,0,4,0,112,1,111,3186.4791154928002
P24,1,0,5,3,4,0,6,0,5,1,1,0,0,9,2,0,1,0,1,0,5,2,5,13,0,0,0,0,8,5,4,0,81,0,81,3185.3713054698
P25,2,0,9,2,8,2,0,0,5,5,0,5,5,0,2,4,5,4,4,1,8,1,0,5,2,2,5,1,2,0,8,4,101,2,99,3185.2591490777995
P26,11,1,3,3,1,8,4,1,0,3,2,4,1,6,8,0,1,9,0,9,11,0,1,2,19,0,1,2,3,0,1,4,119,1,118,3186.0075802816
P27,1,2,0,1,5,5,6,0,2,1,3,1,1,8,3,0,7,0,24,4,1,0,1,13,9,0,1,3,1,2,2,4,111,3,108,3185.272199634801
P28,0,8,8,2,2,1,2,1,3,0,5,0,0,1,0,4,2,0,1,0,0,0,4,2,0,2,9,0,2,0,16,0,75,2,73,3186.2582297338004
P29,1,0,0,11,8,2,0,0,1,5,6,3,10,0,5,3,3,14,2,0,0,5,6,4,1,12,1,2,0,7,0,2,114,7,107,3186.2171502137994
P30,5,0,0,1,0,4,3,2,3,7,16,2,3,2,12,1,2,7,0,4,16,9,6,0,4,7,1,4,0,0,4,0,125,4,121,3185.2053451598
P31,6,4,1,5,6,1,2,3,0,1,6,6,0,8,0,0,1,4,0,4,1,4,2,2,5,7,2,4,2,5,2,3,97,3,94,3185.6936907772006
