Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,53,0,44,8,0,8,30,2,145,53,92,3179.6784748841997
P1,12,50,3,7,7,10,2,22,113,50,63,3173.9582824598
P2,22,3,12,0,2,30,5,12,86,12,74,3174.9381437224
P3,3,7,7,1,12,11,9,17,67,1,66,3169.0961933122
P4,0,36,18,8,29,12,17,7,127,29,98,3175.1339507112
P5,3,2,12,23,3,0,0,28,71,0,71,3173.8858432678003
P6,5,2,0,16,39,24,13,4,103,13,90,3174.120011812
P7,2,0,4,37,8,5,24,8,88,8,80,3175.4312415104
