Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,20,1,1,29,51,20,31,3047.9231586438
P1,13,45,10,27,95,45,50,3048.6180200534
P2,20,37,31,24,112,31,81,3048.3941383278
P3,47,17,58,20,142,20,122,3048.0199384549996
