Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,0,0,0,0,0,0,0,32,32,0,32,3302.7005462592
P1,14,12,32,44,41,0,15,9,167,12,155,3156.0500435763997
P2,0,0,23,2,5,17,5,17,69,23,46,3156.6820430728
P3,11,0,12,10,1,7,34,2,77,10,67,3156.9877839074
P4,13,4,5,7,13,13,24,5,84,13,71,3155.606848716
P5,4,37,12,14,11,41,4,5,128,41,87,3156.645658967
P6,12,37,10,7,2,2,2,26,98,2,96,3155.5840430134
P7,46,10,6,16,27,20,16,4,145,4,141,3155.9851741678
