Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,0,0,4,13,13,7,3,23,0,5,4,5,17,14,1,0,109,0,109,3456.1064963354
P1,2,0,10,10,7,1,0,0,0,0,0,0,0,1,32,0,63,0,63,3455.4462370870006
P2,0,8,30,5,15,0,0,6,4,5,0,0,4,8,8,12,105,30,75,3456.1957387888006
P3,12,0,0,2,1,13,8,1,8,38,7,0,4,12,4,0,110,2,108,3456.4341306692004
P4,1,7,4,1,0,1,13,2,5,5,6,8,4,10,0,12,79,0,79,3456.602728367
P5,0,4,6,0,4,0,11,14,1,9,28,2,4,6,0,6,95,0,95,3455.994891168
P6,0,4,2,1,1,9,38,10,28,1,12,4,4,1,5,2,122,38,84,3456.991845606801
P7,5,4,13,4,9,13,7,6,0,1,1,0,0,0,8,21,92,6,86,3456.0992612808
P8,38,8,4,21,1,14,1,5,1,1,1,4,4,4,21,1,129,1,128,3457.0083937634004
P9,0,6,2,14,12,2,0,4,4,4,2,16,17,6,5,0,94,4,90,3456.8310661354003
P10,16,14,0,11,0,0,1,10,0,10,1,0,12,5,0,16,96,1,95,3456.4158973681997
P11,9,12,4,4,12,2,0,0,8,5,8,41,1,0,4,1,111,41,70,3456.3062148156
P12,0,9,1,1,8,3,7,4,24,5,12,8,2,12,0,4,100,2,98,3456.4049715982
P13,4,1,13,9,0,8,0,8,1,3,9,8,7,5,5,9,90,5,85,3455.6611442574003
P14,1,3,3,0,9,25,10,3,9,4,5,0,11,4,2,11,100,2,98,3456.2450814228
P15,12,20,4,4,8,2,1,4,7,4,4,4,9,12,5,5,105,5,100,3455.4912681560004
