Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,0,5,6,12,3,0,3,0,0,2,0,4,0,2,1,0,1,4,1,5,0,0,2,3,2,0,0,5,0,4,1,1,2,5,2,0,4,3,0,2,6,0,1,1,1,4,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,5,2,114,0,114,26788.6041750888
P1,0,2,1,0,0,0,0,0,2,0,2,5,3,0,1,1,0,0,0,1,0,4,0,8,0,0,0,0,4,2,0,0,1,3,3,3,0,1,3,2,4,2,15,1,1,2,1,0,0,1,2,3,4,0,1,1,1,0,3,1,6,0,0,0,101,2,99,26786.7288985284
P2,0,5,2,0,0,1,1,4,1,0,0,0,0,0,5,4,0,0,5,1,0,1,1,2,0,0,12,0,0,0,2,0,1,2,0,3,2,0,0,1,2,0,0,6,1,2,0,2,0,0,4,2,0,0,7,1,0,0,4,1,1,1,5,0,95,2,93,26790.142025950798
P3,5,0,0,0,1,6,1,0,2,2,7,10,0,1,0,0,0,4,0,1,0,0,0,0,0,0,1,0,4,0,0,3,1,0,6,0,1,8,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,0,1,0,0,1,88,0,88,26790.5680279766
P4,0,1,0,0,1,1,1,0,1,1,0,6,0,1,0,0,2,1,0,0,4,0,1,0,0,17,1,2,1,5,0,1,4,0,0,0,1,4,2,4,7,4,1,1,3,0,0,1,0,1,5,0,4,0,0,0,0,9,0,1,3,0,0,0,103,1,102,26787.9237432492
P5,0,0,0,0,0,0,2,0,1,1,0,0,0,0,6,1,4,1,2,0,5,0,0,0,0,4,0,0,4,6,1,0,0,0,0,1,1,0,4,4,0,1,0,11,1,1,0,1,1,0,0,0,0,3,0,3,1,0,0,0,4,4,3,1,83,0,83,26789.964468478604
P6,4,0,0,4,12,0,1,0,0,1,4,0,0,1,4,1,0,5,2,0,3,0,3,2,3,0,0,5,2,0,2,6,0,4,8,0,0,0,0,1,0,1,4,1,0,0,8,4,3,0,3,5,1,0,0,1,4,4,0,0,3,1,0,0,121,1,120,26787.805174829602
P7,2,0,2,0,0,6,5,0,1,3,0,1,2,2,0,4,4,1,0,4,4,0,4,1,4,0,0,0,0,2,0,0,0,0,0,10,0,5,0,0,0,1,1,0,0,3,3,0,1,3,1,2,5,9,6,4,1,0,5,0,0,1,0,0,113,0,113,26790.732671265803
P8,0,1,0,0,0,1,0,4,2,3,3,0,4,0,2,10,1,1,2,2,1,0,0,2,0,1,0,5,1,1,0,3,0,6,0,1,0,0,0,0,1,3,0,5,0,0,1,1,0,2,1,1,0,1,0,0,2,0,0,1,4,0,0,8,88,2,86,26789.0668387422
P9,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,6,0,1,6,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,5,2,0,1,5,0,0,8,4,0,0,4,6,0,1,0,0,4,3,2,1,72,1,71,26788.207926275205
P10,0,0,4,0,4,1,1,0,0,0,0,0,1,4,4,5,5,0,1,0,0,0,1,0,2,0,4,1,1,0,0,0,1,5,4,2,6,4,3,0,1,4,2,1,1,1,1,0,0,6,0,0,1,0,1,2,4,0,1,6,0,2,0,0,98,0,98,26790.8571419718
P11,1,0,0,3,0,0,4,12,5,0,1,1,5,1,0,4,0,0,0,0,0,3,4,1,0,0,6,4,0,3,2,1,0,0,1,1,0,1,4,1,1,6,5,3,0,0,4,0,0,0,1,0,0,5,0,0,1,7,2,1,2,0,0,0,107,1,106,26791.022392279
P12,0,3,1,1,1,0,4,1,4,5,0,4,0,3,0,1,2,1,2,1,0,2,2,0,5,0,3,0,2,1,0,0,0,3,0,0,0,5,1,0,0,2,0,4,2,4,0,1,2,2,1,0,4,3,1,1,0,2,0,0,3,2,4,1,97,0,97,26789.9098448786
P13,3,0,4,1,0,0,1,7,4,0,4,3,1,1,2,0,8,1,0,1,4,3,3,1,2,1,2,5,0,0,1,0,2,5,0,0,1,0,0,1,3,2,0,0,2,4,2,1,3,4,0,0,2,0,0,3,1,2,0,2,1,0,3,4,111,1,110,26789.047875405806
P14,2,2,0,0,2,2,0,1,1,1,0,0,1,4,0,4,0,0,5,0,0,10,2,3,4,0,2,0,0,0,2,1,5,1,1,0,0,0,4,0,2,2,0,1,4,0,4,0,1,4,1,5,0,6,0,0,2,0,1,3,4,2,0,0,102,0,102,26788.691339971996
P15,5,0,0,2,0,0,7,3,7,3,1,0,4,0,0,1,0,1,0,1,0,1,0,1,0,4,0,2,0,0,1,1,4,0,3,0,0,0,0,1,2,6,0,0,0,2,0,8,0,3,0,4,2,5,0,0,4,1,1,0,0,0,1,5,97,1,96,26790.398685929806
P16,0,11,2,3,0,0,0,0,0,0,0,3,0,2,2,3,2,0,2,0,0,1,0,0,1,0,8,5,6,5,0,2,1,0,6,10,4,1,1,4,5,0,1,4,5,4,2,0,0,0,0,0,6,0,4,0,0,0,2,0,0,4,0,4,126,2,124,26788.9315295242
P17,1,1,1,0,0,1,1,4,3,4,1,0,2,0,10,5,1,0,0,1,0,1,3,0,1,0,0,3,0,0,0,2,1,1,1,0,4,2,0,5,0,2,5,4,4,0,0,0,0,3,1,0,0,0,2,0,4,1,3,0,3,0,3,0,95,0,95,26787.566869737
P18,0,3,2,4,4,2,2,1,0,0,0,0,6,2,1,1,0,0,4,4,0,0,1,5,4,1,0,4,0,5,0,1,0,0,0,0,5,0,0,2,0,0,1,3,11,0,6,2,0,0,0,0,4,4,0,2,0,5,1,0,0,4,1,0,108,4,104,26790.069644454
P19,0,0,2,1,0,1,1,0,0,1,4,0,0,1,4,4,1,2,2,0,0,1,2,0,3,3,1,5,3,0,0,0,0,1,4,2,6,1,0,1,0,11,0,2,0,0,0,1,6,2,0,1,1,1,0,4,0,2,0,2,0,4,1,3,98,0,98,26788.0076971062
P20,4,3,2,1,3,0,0,4,0,0,0,0,5,2,0,1,0,0,1,5,4,0,1,3,3,0,0,5,5,0,1,1,1,0,0,4,1,1,1,0,0,5,2,5,0,0,0,1,0,0,1,0,0,0,0,4,0,5,0,1,0,1,6,1,94,4,90,26789.290290834804
P21,1,0,5,0,2,6,2,0,4,4,0,0,1,0,0,1,0,0,4,0,2,2,0,4,0,0,0,0,5,1,0,0,8,0,0,1,0,1,1,0,0,0,5,0,0,0,3,4,0,0,1,0,0,1,1,0,4,5,1,0,1,0,0,4,85,2,83,26790.100226881397
P22,1,1,0,4,2,2,0,4,0,0,1,0,0,2,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,1,1,0,1,0,2,1,0,1,1,4,0,0,0,7,1,1,0,1,6,0,2,0,0,1,1,1,0,2,0,4,4,2,76,0,76,26787.946972847
P23,0,1,4,13,0,0,0,0,0,1,1,1,1,8,0,2,4,1,1,0,5,4,4,1,2,7,1,0,4,0,2,1,0,4,0,0,2,2,0,1,0,1,1,1,0,2,0,0,0,5,3,0,1,1,6,2,2,4,0,3,2,1,0,0,113,1,112,26787.555613995002
P24,0,0,0,0,3,0,0,0,1,4,0,6,2,5,0,0,1,2,0,1,0,4,5,6,2,0,4,0,5,0,0,0,0,1,0,1,2,0,0,4,1,0,1,4,1,2,4,2,0,0,2,0,0,0,0,3,1,3,0,5,0,0,2,3,93,2,91,26791.0179228774
P25,0,0,4,1,0,1,3,1,0,0,0,0,0,0,0,5,4,0,0,0,3,0,0,1,0,0,0,4,2,0,3,0,8,4,4,2,0,4,3,1,3,0,6,2,3,1,0,4,1,2,2,0,3,0,0,5,2,0,2,1,1,3,0,2,101,0,101,26787.5844216382
P26,1,5,0,1,2,6,1,0,0,0,1,2,0,0,4,2,3,5,5,0,0,6,2,2,3,0,2,0,1,0,4,0,0,1,1,0,0,0,0,1,1,2,0,0,2,0,4,1,2,0,1,6,2,2,4,0,0,0,0,1,4,4,2,1,100,2,98,26789.481249810404
P27,3,1,4,0,0,1,2,1,1,0,4,0,1,0,0,0,2,1,0,1,0,4,0,1,0,3,0,1,0,0,1,4,8,1,0,0,0,0,0,2,0,2,0,0,7,0,0,1,0,0,4,0,0,4,0,1,0,0,8,5,0,1,0,0,80,1,79,26787.352910043
P28,3,0,0,0,1,2,3,2,7,4,4,0,1,1,1,0,0,0,0,2,1,0,1,1,4,7,1,3,4,0,0,5,5,3,3,0,0,5,0,1,4,4,0,0,0,2,0,3,0,0,3,8,4,0,1,5,0,1,0,1,0,7,1,0,119,4,115,26789.891414643003
P29,3,1,0,0,0,3,3,4,0,3,0,0,4,2,0,1,4,0,1,0,1,4,1,0,1,0,0,2,0,0,3,3,2,1,0,0,1,0,0,0,0,1,0,1,1,1,4,0,0,5,2,0,2,0,2,1,2,0,0,0,4,0,2,6,82,0,82,26787.6651597042
P30,16,1,0,0,0,1,4,3,0,0,3,0,0,2,0,0,0,0,0,0,0,6,1,0,5,0,1,0,0,0,15,1,5,4,1,2,4,12,0,10,0,0,3,0,4,1,13,1,0,6,2,0,1,2,2,0,0,0,6,3,0,1,0,0,142,15,127,26790.7830772376
P31,4,0,0,0,0,1,0,1,1,4,5,0,1,1,0,1,3,1,0,2,1,1,0,1,1,0,8,0,0,1,1,1,0,0,1,1,1,6,1,0,1,1,0,0,1,5,0,7,1,2,1,4,3,2,0,1,2,4,4,0,2,0,0,0,91,1,90,26790.6652598406
P32,0,2,0,1,3,1,0,0,3,2,0,7,3,0,5,0,4,6,1,1,0,3,5,1,8,0,3,8,0,0,2,4,0,0,0,0,3,0,0,0,2,1,1,0,4,2,0,0,0,1,0,4,2,3,1,0,0,0,8,1,1,1,1,1,110,0,110,26788.793523314598
P33,2,0,0,0,0,3,0,0,0,0,1,4,7,1,1,0,0,0,1,0,3,1,0,0,0,0,1,0,1,0,0,3,4,2,0,1,0,0,0,2,0,0,1,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,0,16,0,0,0,0,62,2,60,26788.9331164352
P34,4,4,1,4,2,6,2,0,0,1,0,2,2,4,1,0,3,1,4,4,4,1,4,0,1,0,4,0,2,4,0,1,0,1,3,6,1,0,0,0,4,5,0,5,0,1,0,1,1,4,0,6,1,4,2,0,0,2,1,0,1,2,1,4,122,3,119,26788.2210211772
P35,2,1,4,0,1,4,0,1,8,1,0,0,0,0,0,2,0,2,0,3,0,0,2,0,1,0,1,0,1,5,0,2,0,0,3,0,1,1,0,0,1,1,4,2,4,13,1,0,0,0,2,2,0,0,1,1,3,0,1,2,1,5,0,1,91,0,91,26786.6345930096
P36,3,1,6,8,0,0,0,2,4,2,0,0,0,0,0,0,2,0,0,0,10,1,0,2,0,1,2,5,1,0,0,1,3,0,0,1,0,8,0,4,1,5,0,1,1,1,1,1,0,4,0,5,0,0,2,4,0,1,3,1,1,5,0,1,105,0,105,26789.3671197918
P37,0,4,4,4,0,0,5,0,2,0,0,0,1,2,5,4,0,4,0,2,0,0,1,0,1,0,0,1,0,0,2,0,0,0,2,2,1,2,12,4,4,5,2,0,0,0,1,1,0,0,1,0,0,2,1,3,0,2,1,1,3,4,0,2,98,2,96,26791.8073053362
