Iter,R0,R1,R2,R3,R4,R5,R6,R7
0,0.0814540386,0.0817689896,5.1134443283,0.0808076859,0.0805988312,0.0803174973,3.5300588608,0.0809280872
1,0.0781617165,0.0793116093,5.0637748241,0.078527689,0.0791110992,0.0784296989,3.5216524601,0.0789792538
2,0.0782835484,0.0785887241,5.4213654995,0.0787503719,0.1811490059,0.0787396431,4.0370645523,0.0780875683
3,0.1583654881,0.1602721214,5.016900301,0.1559071541,0.0784366131,0.162170887,3.4874315262,0.1609141827
4,0.0771138668,0.0772366524,5.1837034225,0.0772676468,0.0772907734,0.0771925449,3.5259873867,0.0774104595
