Process,P0,P1,P2,P3,P4,P5,P6,P7,num_total,num_local,num_remote,L
P0,0,8,3,1,15,2,0,12,41,0,41,1729.3680152816
P1,6,10,2,0,3,8,8,7,44,10,34,1729.1164121652
P2,18,0,11,0,8,7,4,2,50,11,39,1729.0063629144
P3,9,6,9,18,3,3,4,1,53,18,35,1728.8246231092
P4,7,5,5,8,4,24,2,5,60,4,56,1728.5614519092
P5,7,4,2,3,15,4,23,8,66,4,62,1728.4298715595999
P6,1,16,17,0,1,2,1,6,44,1,43,1729.0890045136002
P7,2,1,1,20,1,0,8,9,42,9,33,1728.9126234072
