Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P13,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,3,2,1,2,1,1,2,2,1,3,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,1,3,1,2,1,2,2,1,2,1,102,2,100,26789.08751
P14,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,3,2,1,2,1,1,2,2,1,3,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,1,3,1,2,1,2,2,1,2,1,102,2,100,26789.08751
P15,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,3,2,1,2,1,1,2,2,1,3,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,1,3,1,2,1,2,2,1,2,1,102,2,100,26789.08751
P16,2,1,2,3,1,2,2,2,3,1,1,0,1,1,1,1,2,1,2,3,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,3,1,1,2,2,1,0,1,1,2,2,1,2,2,2,98,2,96,26789.08753
P17,2,1,2,3,1,2,2,2,3,1,1,0,1,1,1,1,2,1,2,3,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,3,1,1,2,2,1,0,1,1,2,2,1,2,2,2,98,1,97,26789.08753
P18,2,1,2,3,1,2,2,2,3,1,1,0,1,1,1,1,2,1,2,3,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,3,1,1,2,2,1,0,1,1,2,2,1,2,2,2,98,2,96,26789.08753
P19,2,1,2,3,1,2,2,2,3,1,1,0,1,1,1,1,2,1,2,3,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,3,1,1,2,2,1,0,1,1,2,2,1,2,2,2,98,3,95,26789.08753
P20,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,0,1,2,1,2,2,2,2,1,2,1,2,1,0,1,3,3,1,2,2,2,1,2,1,1,2,1,1,3,2,2,2,1,1,1,1,3,2,1,1,3,1,1,1,2,1,2,2,2,101,2,99,26789.08756
P21,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,0,1,2,1,2,2,2,2,1,2,1,2,1,0,1,3,3,1,2,2,2,1,2,1,1,2,1,1,3,2,2,2,1,1,1,1,3,2,1,1,3,1,1,1,2,1,2,2,2,101,2,99,26789.08756
P22,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,0,1,2,1,2,2,2,2,1,2,1,2,1,0,1,3,3,1,2,2,2,1,2,1,1,2,1,1,3,2,2,2,1,1,1,1,3,2,1,1,3,1,1,1,2,1,2,2,2,101,2,99,26789.08756
P23,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,0,1,2,1,2,2,2,2,1,2,1,2,1,0,1,3,3,1,2,2,2,1,2,1,1,2,1,1,3,2,2,2,1,1,1,1,3,2,1,1,3,1,1,1,2,1,2,2,2,101,1,100,26789.08756
P24,2,3,2,2,2,1,2,2,1,0,2,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,3,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,3,3,1,1,1,2,2,2,2,1,101,1,100,26789.08758
P25,2,3,2,2,2,1,2,2,1,0,2,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,3,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,3,3,1,1,1,2,2,2,2,1,101,1,100,26789.08758
P26,2,3,2,2,2,1,2,2,1,0,2,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,3,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,3,3,1,1,1,2,2,2,2,1,101,1,100,26789.08758
P27,2,3,2,2,2,1,2,2,1,0,2,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,3,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,3,3,1,1,1,2,2,2,2,1,101,1,100,26789.08758
P28,2,1,2,1,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,3,1,1,2,0,2,1,2,1,1,2,2,2,98,2,96,26789.08784
P29,2,1,2,1,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,3,1,1,2,0,2,1,2,1,1,2,2,2,98,1,97,26789.08784
P30,2,1,2,1,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,3,1,1,2,0,2,1,2,1,1,2,2,2,98,1,97,26789.08784
P31,2,1,2,1,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,3,1,1,2,0,2,1,2,1,1,2,2,2,98,2,96,26789.08784
P32,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,3,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,3,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,3,1,2,1,2,2,1,1,2,101,1,100,26789.08785
P33,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,3,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,3,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,3,1,2,1,2,2,1,1,2,101,2,99,26789.08785
P34,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,3,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,3,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,3,1,2,1,2,2,1,1,2,101,1,100,26789.08785
P35,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,3,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,3,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,3,1,2,1,2,2,1,1,2,101,1,100,26789.08785
P36,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,3,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,0,2,2,1,1,1,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,1,1,2,102,2,100,26789.08801
P37,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,3,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,0,2,2,1,1,1,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,1,1,2,102,1,101,26789.08801
P38,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,3,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,0,2,2,1,1,1,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,1,1,2,102,2,100,26789.08801
P39,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,3,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,0,2,2,1,1,1,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,1,1,2,102,2,100,26789.08801
P40,2,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,3,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,2,3,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,3,0,2,2,2,1,3,1,1,1,98,1,97,26789.08803
P41,2,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,3,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,2,3,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,3,0,2,2,2,1,3,1,1,1,98,2,96,26789.08803
P42,2,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,3,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,2,3,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,3,0,2,2,2,1,3,1,1,1,98,2,96,26789.08803
