Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,100,0,0,28,128,100,28,3077.94327
P1,0,80,0,28,108,80,28,3047.69671
P2,0,20,100,14,134,100,34,2970.51053
P3,0,0,0,30,30,30,0,3096.80474
