Process,P0,P1,P2,P3,num_total,num_local,num_remote,L
P0,25,25,25,25,100,25,75,3048.23881
P1,25,25,25,25,100,25,75,3048.23881
P2,25,25,25,25,100,25,75,3048.23881
P3,25,25,25,25,100,25,75,3048.23881
